C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/3/1,ツナピラフ,米,62,212,3.8,0.6,1
2023/3/1,ツナピラフ,麦,8,27,0.6,0.2,0
2023/3/1,ツナピラフ,酒,0.8,1,0,0,0
2023/3/1,ツナピラフ,水,,0,0,0,0
2023/3/1,ツナピラフ,ツナ,15,40,2.7,3.3,51
2023/3/1,ツナピラフ,人参,10,3,0.1,0,3
2023/3/1,ツナピラフ,玉ねぎ,20,6,0.2,0,0
2023/3/1,ツナピラフ,ホールコーン,6,5,0.1,0,13
2023/3/1,ツナピラフ,しょうが,0.1,0,0,0,0
2023/3/1,ツナピラフ,油,0.5,4,0,0.5,0
2023/3/1,ツナピラフ,濃縮スープ（チキン）,2,0,0.1,0,2
2023/3/1,ツナピラフ,塩,0.8,0,0,0,312
2023/3/1,ツナピラフ,こしょう,0.02,0,0,0,0
2023/3/1,ツナピラフ,グリンピース,3,2,0.2,0,0
2023/3/1,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/1,とり肉のから揚げ,鶏肉,60,97,11.4,6.1,31
2023/3/1,とり肉のから揚げ,塩,0.45,0,0,0,176
2023/3/1,とり肉のから揚げ,こしょう,0.03,0,0,0,0
2023/3/1,とり肉のから揚げ,白ワイン,0.5,0,0,0,0
2023/3/1,とり肉のから揚げ,片栗粉,8,27,0,0,0
2023/3/1,とり肉のから揚げ,油,35,21,0,2.4,0
2023/3/1,ナムル,もやし,40,6,0.7,0,1
2023/3/1,ナムル,人参,10,3,0.1,0,3
2023/3/1,ナムル,小松菜,20,3,0.3,0,3
2023/3/1,ナムル,しょうゆ,2.5,2,0.2,0,143
2023/3/1,ナムル,ごま油,0.5,4,0,0.5,0
2023/3/1,ナムル,白ごま,1,6,0.2,0.5,0
2023/3/1,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31
2023/3/2,そぼろごはん,米,70,239,4.3,0.6,1
2023/3/2,そぼろごはん,麦,10,33,0.7,0.2,0
2023/3/2,そぼろごはん,油,0.3,3,0,0.3,0
2023/3/2,そぼろごはん,酒,1,1,0,0,0
2023/3/2,そぼろごはん,水,,0,0,0,0
2023/3/2,そぼろごはん,豚ひき肉,45,82,9,5.3,22
2023/3/2,そぼろごはん,大豆ミート,4.5,16,2.1,0.1,0
2023/3/2,そぼろごはん,人参,10,3,0.1,0,3
2023/3/2,そぼろごはん,玉ねぎ,20,6,0.2,0,0
2023/3/2,そぼろごはん,切り干し大根,7,20,0.7,0.1,15
2023/3/2,そぼろごはん,しょうが,1,0,0,0,0
2023/3/2,そぼろごはん,油,1,9,0,1,0
2023/3/2,そぼろごはん,しょうゆ,5,4,0.4,0,285
2023/3/2,そぼろごはん,さとう,2,8,0,0,0
2023/3/2,そぼろごはん,みりん,2,5,0,0,0
2023/3/2,そぼろごはん,酒,1,1,0,0,0
2023/3/2,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/2,ゆずポン酢サラダ,キャベツ,45,8,0.5,0.1,2
2023/3/2,ゆずポン酢サラダ,人参,5,1,0,0,2
2023/3/2,ゆずポン酢サラダ,もやし,10,1,0.2,0,0
2023/3/2,ゆずポン酢サラダ,わかめ,0.5,1,0.1,0,18
2023/3/2,ゆずポン酢サラダ,さとう,0.6,2,0,0,0
2023/3/2,ゆずポン酢サラダ,しょうゆ,2.4,2,0.2,0,137
