B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/6/1,黒パン,黒パン,50,239,7.2,3.8,359
2022/6/1,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/1,ホワイトシチュー,豚肉,25,46,5,2.9,12
2022/6/1,ホワイトシチュー,人参,15,4,0.1,0,5
2022/6/1,ホワイトシチュー,じゃがいも,80,42,1.3,0.1,1
2022/6/1,ホワイトシチュー,玉ねぎ,50,16,0.5,0,1
2022/6/1,ホワイトシチュー,油,0.7,6,0,0.7,0
2022/6/1,ホワイトシチュー,白花豆ペースト,10,11,0.6,0.1,0
2022/6/1,ホワイトシチュー,油,1.5,13,0,1.5,0
2022/6/1,ホワイトシチュー,バター,1.5,11,0,1.2,11
2022/6/1,ホワイトシチュー,小麦粉,4,14,0.3,0.1,0
2022/6/1,ホワイトシチュー,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/6/1,ホワイトシチュー,塩,0.9,0,0,0,351
2022/6/1,ホワイトシチュー,こしょう,0.04,0,0,0,0
2022/6/1,ホワイトシチュー,脱脂粉乳,12,42,4.1,0.1,68
2022/6/1,ホワイトシチュー,ベイリーフ,0.01,0,0,0,0
2022/6/1,ホワイトシチュー,水,90～110,0,0,0,0
2022/6/1,わかめサラダ,わかめ,1,2,0.2,0,36
2022/6/1,わかめサラダ,キャベツ,40,7,0.4,0.1,2
2022/6/1,わかめサラダ,人参,5,1,0,0,2
2022/6/1,わかめサラダ,しょうゆ,2.8,2,0.2,0,160
2022/6/1,わかめサラダ,サラダ油,1.8,16,0,1.8,0
2022/6/1,ゼリー,りんごゼリー（鉄）,50,50,0.1,0.1,22
2022/6/2,ツナそぼろごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/6/2,ツナそぼろごはん,ツナ,55,146,9.7,11.9,187
2022/6/2,ツナそぼろごはん,凍り豆腐,5,25,2.5,1.7,22
2022/6/2,ツナそぼろごはん,人参,15,4,0.1,0,5
2022/6/2,ツナそぼろごはん,しょうが,0.7,0,0,0,0
2022/6/2,ツナそぼろごはん,しょうゆ,3.9,3,0.3,0,222
2022/6/2,ツナそぼろごはん,さとう,2.6,10,0,0,0
2022/6/2,ツナそぼろごはん,酒,1.5,2,0,0,0
2022/6/2,ツナそぼろごはん,みりん,0.8,2,0,0,0
2022/6/2,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/2,みそ汁,玉ねぎ,35,11,0.3,0,1
2022/6/2,みそ汁,じゃがいも,25,13,0.4,0,0
2022/6/2,みそ汁,ほうれん草,20,4,0.6,0.1,23
2022/6/2,みそ汁,かつお節,1.5,0,0,0,0
2022/6/2,みそ汁,白みそ,9,16,1.1,0.5,441
2022/6/2,みそ汁,水,120～140,0,0,0,0
2022/6/3,麦ごはん,米,70,239,4.3,0.6,1
2022/6/3,麦ごはん,麦,10,33,0.7,0.2,0
2022/6/3,麦ごはん,油,0.3,3,0,0.3,0
2022/6/3,麦ごはん,酒,1,1,0,0,0
2022/6/3,麦ごはん,水,,0,0,0,0
2022/6/3,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/3,とり肉のごまみそ焼き,鶏肉,70,113,13.3,7.1,36
2022/6/3,とり肉のごまみそ焼き,赤みそ,4,7,0.5,0.2,204
2022/6/3,とり肉のごまみそ焼き,さとう,1,4,0,0,0
2022/6/3,とり肉のごまみそ焼き,酒,1,1,0,0,0
2022/6/3,とり肉のごまみそ焼き,みりん,1,2,0,0,0
2022/6/3,とり肉のごまみそ焼き,白ごま,3,18,0.6,1.6,0
2022/6/3,沢煮わん,豚肉,20,36,4,2.3,10
2022/6/3,沢煮わん,人参,10,3,0.1,0,3
2022/6/3,沢煮わん,大根,20,3,0.1,0,3
2022/6/3,沢煮わん,長ねぎ,5,1,0,0,0
2022/6/3,沢煮わん,白菜,20,2,0.2,0,1
2022/6/3,沢煮わん,干し椎茸,0.5,1,0.1,0,0
2022/6/3,沢煮わん,小松菜,15,2,0.2,0,2
2022/6/3,沢煮わん,かつお節,1.5,0,0,0,0
2022/6/3,沢煮わん,塩,0.6,0,0,0,234
2022/6/3,沢煮わん,しょうゆ,3,2,0.2,0,171
2022/6/3,沢煮わん,みりん,1,2,0,0,0
2022/6/3,沢煮わん,水,100～120,0,0,0,0
2022/6/6,食パン,食パン,60,249,8.3,4.6,421
2022/6/6,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/6,ポークチャップ,豚肉,60,103,12.3,6.1,28
2022/6/6,ポークチャップ,塩,0.1,0,0,0,39
2022/6/6,ポークチャップ,こしょう,0.03,0,0,0,0
2022/6/6,ポークチャップ,片栗粉,15,51,0,0,0
2022/6/6,ポークチャップ,油,35,21,0,2.4,0
2022/6/6,ポークチャップ,トマトケチャップ,6,6,0.1,0,72
2022/6/6,ポークチャップ,ウスターソース,1.2,1,0,0,40
2022/6/6,ポークチャップ,さとう,2,8,0,0,0
2022/6/6,ポークチャップ,しょうゆ,0.4,0,0,0,23
2022/6/6,ポークチャップ,赤ワイン,1,1,0,0,0
2022/6/6,ポークチャップ,にんにく,0.01,0,0,0,0
2022/6/6,ポークチャップ,玉ねぎ,1,0,0,0,0
2022/6/6,ポークチャップ,水,11,0,0,0,0
2022/6/6,ビーフンスープ,ビーフン,10,36,0.7,0.2,0
2022/6/6,ビーフンスープ,鶏肉,25,41,4.8,2.5,13
2022/6/6,ビーフンスープ,人参,10,3,0.1,0,3
2022/6/6,ビーフンスープ,もやし,25,4,0.4,0,0
2022/6/6,ビーフンスープ,玉ねぎ,20,6,0.2,0,0
2022/6/6,ビーフンスープ,小松菜,15,2,0.2,0,2
2022/6/6,ビーフンスープ,濃縮スープ（チキン）,5,1,0.2,0,4
2022/6/6,ビーフンスープ,塩,1,0,0,0,390
2022/6/6,ビーフンスープ,こしょう,0.03,0,0,0,0
2022/6/6,ビーフンスープ,水,130,0,0,0,0
2022/6/6,ビーフンスープ,ごま油,0.2,2,0,0.2,0
2022/6/6,ジャム,りんごジャム,15,30,0,0,1
2022/6/7,ベイスターズ青星寮カレー,米,70,239,4.3,0.6,1
2022/6/7,ベイスターズ青星寮カレー,麦,10,33,0.7,0.2,0
2022/6/7,ベイスターズ青星寮カレー,油,0.3,3,0,0.3,0
2022/6/7,ベイスターズ青星寮カレー,酒,1,1,0,0,0
2022/6/7,ベイスターズ青星寮カレー,水,,0,0,0,0
2022/6/7,ベイスターズ青星寮カレー,豚肉,50,86,10.3,5.1,24
2022/6/7,ベイスターズ青星寮カレー,赤ワイン,3,2,0,0,0
2022/6/7,ベイスターズ青星寮カレー,人参,20,5,0.1,0,6
2022/6/7,ベイスターズ青星寮カレー,にんにく,0.1,0,0,0,0
2022/6/7,ベイスターズ青星寮カレー,しょうが,0.2,0,0,0,0
2022/6/7,ベイスターズ青星寮カレー,油,1.2,11,0,1.2,0
2022/6/7,ベイスターズ青星寮カレー,油,6,53,0,6,0
2022/6/7,ベイスターズ青星寮カレー,バター,1,7,0,0.8,8
2022/6/7,ベイスターズ青星寮カレー,小麦粉,6,21,0.5,0.1,0
2022/6/7,ベイスターズ青星寮カレー,カレー粉,1,3,0.1,0.1,0
2022/6/7,ベイスターズ青星寮カレー,クミン,0.3,1,0.1,0.1,1
2022/6/7,ベイスターズ青星寮カレー,玉ねぎ,40,12,0.4,0,1
2022/6/7,ベイスターズ青星寮カレー,炒め玉ねぎ,15,12,0.4,0,1
2022/6/7,ベイスターズ青星寮カレー,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2022/6/7,ベイスターズ青星寮カレー,ウスターソース,3,4,0,0,99
2022/6/7,ベイスターズ青星寮カレー,中濃ソース,2,3,0,0,46
2022/6/7,ベイスターズ青星寮カレー,トマトケチャップ,2,2,0,0,24
2022/6/7,ベイスターズ青星寮カレー,塩,1,0,0,0,390
2022/6/7,ベイスターズ青星寮カレー,しょうゆ,1,1,0.1,0,57
2022/6/7,ベイスターズ青星寮カレー,さとう,0.2,1,0,0,0
2022/6/7,ベイスターズ青星寮カレー,ベイリーフ,0.01,0,0,0,0
2022/6/7,ベイスターズ青星寮カレー,水,70～80,0,0,0,0
2022/6/7,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/7,コールスローサラダ,キャベツ,45,8,0.5,0.1,2
2022/6/7,コールスローサラダ,人参,5,1,0,0,2
2022/6/7,コールスローサラダ,ホールコーン,10,8,0.2,0.1,21
2022/6/7,コールスローサラダ,塩,0.3,0,0,0,117
2022/6/7,コールスローサラダ,酢,1.5,1,0,0,0
2022/6/7,コールスローサラダ,こしょう,0.03,0,0,0,0
2022/6/7,コールスローサラダ,サラダ油,2,18,0,2,0
2022/6/8,あじのたれカツ丼,米（委託炊飯）,80,274,4.9,0.7,1
2022/6/8,あじのたれカツ丼,あじ,35,39,6.9,1.6,46
2022/6/8,あじのたれカツ丼,塩,0.06,0,0,0,23
2022/6/8,あじのたれカツ丼,こしょう,0.01,0,0,0,0
2022/6/8,あじのたれカツ丼,小麦粉,2.3,8,0.2,0,0
2022/6/8,あじのたれカツ丼,小麦粉,2.9,10,0.2,0,0
2022/6/8,あじのたれカツ丼,水,4,0,0,0,0
2022/6/8,あじのたれカツ丼,パン粉,3.5,13,0.5,0.2,16
2022/6/8,あじのたれカツ丼,大豆フレーク,3.5,15,1.3,0.8,0
2022/6/8,あじのたれカツ丼,油,35,53,0,6,0
2022/6/8,あじのたれカツ丼,しょうゆ,2.9,2,0.2,0,165
2022/6/8,あじのたれカツ丼,さとう,2.3,9,0,0,0
2022/6/8,あじのたれカツ丼,酒,1.2,1,0,0,0
2022/6/8,あじのたれカツ丼,みりん,0.6,1,0,0,0
2022/6/8,あじのたれカツ丼,水,1.2,0,0,0,0
2022/6/8,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/8,吉野汁,鶏肉,10,16,1.9,1,5
2022/6/8,吉野汁,人参,10,3,0.1,0,3
2022/6/8,吉野汁,大根,35,4,0.1,0,5
2022/6/8,吉野汁,冷凍油揚げ,10,42,2.3,3.4,0
2022/6/8,吉野汁,小松菜,20,3,0.3,0,3
2022/6/8,吉野汁,長ねぎ,5,1,0,0,0
2022/6/8,吉野汁,かつお節,1.5,0,0,0,0
2022/6/8,吉野汁,しょうゆ,3.5,3,0.3,0,200
2022/6/8,吉野汁,酒,1,1,0,0,0
2022/6/8,吉野汁,塩,0.45,0,0,0,176
2022/6/8,吉野汁,片栗粉,1.5,5,0,0,0
2022/6/8,吉野汁,水,120～130,0,0,0,0
2022/6/9,ミートソーススパゲッティー,スパゲッティー,60,208,7.7,1.1,1
2022/6/9,ミートソーススパゲッティー,塩,1.2,0,0,0,0
2022/6/9,ミートソーススパゲッティー,サラダ油,3,12,0,1.3,0
2022/6/9,ミートソーススパゲッティー,豚ひき肉,45,82,9,5.3,22
2022/6/9,ミートソーススパゲッティー,大豆ミート,5,18,2.3,0.2,0
2022/6/9,ミートソーススパゲッティー,人参,10,3,0.1,0,3
2022/6/9,ミートソーススパゲッティー,玉ねぎ,40,12,0.4,0,1
2022/6/9,ミートソーススパゲッティー,キャベツ,20,4,0.2,0,1
2022/6/9,ミートソーススパゲッティー,油,1,9,0,1,0
2022/6/9,ミートソーススパゲッティー,グリンピース,3,2,0.2,0,0
2022/6/9,ミートソーススパゲッティー,トマトケチャップ,14,15,0.2,0,168
2022/6/9,ミートソーススパゲッティー,トマトピューレ,14,6,0.3,0,3
2022/6/9,ミートソーススパゲッティー,中濃ソース,8,11,0.1,0,184
2022/6/9,ミートソーススパゲッティー,さとう,1,4,0,0,0
2022/6/9,ミートソーススパゲッティー,塩,0.4,0,0,0,156
2022/6/9,ミートソーススパゲッティー,こしょう,0.03,0,0,0,0
2022/6/9,ミートソーススパゲッティー,ナツメグ,0.01,0,0,0,0
2022/6/9,ミートソーススパゲッティー,ベイリーフ,0.02,0,0,0,0
2022/6/9,ミートソーススパゲッティー,水,50～60,0,0,0,0
2022/6/9,ミートソーススパゲッティー,粉チーズ,3,13,1.3,0.9,45
2022/6/9,ミートソーススパゲッティー,米粉,6,21,0.4,0,0
2022/6/9,ミートソーススパゲッティー,水,,0,0,0,0
2022/6/9,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/9,ミックスフルーツ,りんご缶,40,32,0.1,0,1
2022/6/9,ミックスフルーツ,パイン缶,10,8,0,0,0
2022/6/9,ミックスフルーツ,みかん缶,20,13,0.1,0,1
2022/6/9,ミックスフルーツ,ぶどうダイスゼリー,30,26,0,0,16
2022/6/9,ミックスフルーツ,かんづめの汁,35,22,0.1,0,1
2022/6/10,とりごぼうのピラフ,米,62,212,3.8,0.6,1
2022/6/10,とりごぼうのピラフ,麦,8,27,0.6,0.2,0
2022/6/10,とりごぼうのピラフ,酒,0.8,1,0,0,0
2022/6/10,とりごぼうのピラフ,水,,0,0,0,0
2022/6/10,とりごぼうのピラフ,鶏肉,15,24,2.9,1.5,8
2022/6/10,とりごぼうのピラフ,ごぼう,8,4,0.1,0,1
2022/6/10,とりごぼうのピラフ,人参,5,1,0,0,2
2022/6/10,とりごぼうのピラフ,玉ねぎ,15,5,0.1,0,0
2022/6/10,とりごぼうのピラフ,しょうが,0.1,0,0,0,0
2022/6/10,とりごぼうのピラフ,油,1,9,0,1,0
2022/6/10,とりごぼうのピラフ,濃縮スープ（チキン）,2,0,0.1,0,2
2022/6/10,とりごぼうのピラフ,塩,0.9,0,0,0,351
2022/6/10,とりごぼうのピラフ,こしょう,0.02,0,0,0,0
2022/6/10,とりごぼうのピラフ,グリンピース,3,2,0.2,0,0
2022/6/10,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/10,肉団子,肉団子,60,133,9.1,8.2,81
2022/6/10,肉団子,油,35,11,0,1.2,0
2022/6/10,肉団子,さとう,1.1,4,0,0,0
2022/6/10,肉団子,しょうゆ,2.2,2,0.2,0,125
2022/6/10,肉団子,みりん,1.1,3,0,0,0
2022/6/10,肉団子,片栗粉,0.2,1,0,0,0
2022/6/10,肉団子,水,3,0,0,0,0
2022/6/10,塩だれ野菜,キャベツ,20,4,0.2,0,1
2022/6/10,塩だれ野菜,もやし,30,4,0.5,0,1
2022/6/10,塩だれ野菜,人参,5,1,0,0,2
2022/6/10,塩だれ野菜,小松菜,15,2,0.2,0,2
2022/6/10,塩だれ野菜,にんにく,0.6,1,0,0,0
2022/6/10,塩だれ野菜,ごま油,1,9,0,1,0
2022/6/10,塩だれ野菜,塩,0.3,0,0,0,117
2022/6/10,塩だれ野菜,こしょう,0.01,0,0,0,0
2022/6/10,塩だれ野菜,白ごま,1,6,0.2,0.5,0
2022/6/13,ぶどうパン,ぶどうパン,50,250,7.3,3.8,353
2022/6/13,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/13,トマトゥンスープ,肉団子,50,111,7.6,6.9,68
2022/6/13,トマトゥンスープ,人参,10,3,0.1,0,3
2022/6/13,トマトゥンスープ,玉ねぎ,25,8,0.2,0,0
2022/6/13,トマトゥンスープ,キャベツ,25,4,0.3,0,1
2022/6/13,トマトゥンスープ,セロリ,2,0,0,0,0
2022/6/13,トマトゥンスープ,オリーブ油,0.7,6,0,0.7,0
2022/6/13,トマトゥンスープ,ダイストマト,20,4,0.2,0,1
2022/6/13,トマトゥンスープ,トマトピューレ,10,4,0.2,0,2
2022/6/13,トマトゥンスープ,塩,0.8,0,0,0,312
2022/6/13,トマトゥンスープ,こしょう,0.01,0,0,0,0
2022/6/13,トマトゥンスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/6/13,トマトゥンスープ,ベイリーフ,0.01,0,0,0,0
2022/6/13,トマトゥンスープ,乾燥バジル,0.02,0,0,0,0
2022/6/13,トマトゥンスープ,水,120,0,0,0,0
2022/6/13,スタンポット,じゃがいも,60,32,1,0.1,1
2022/6/13,スタンポット,ほうれん草,10,2,0.3,0,11
2022/6/13,スタンポット,ベーコン,5,20,0.6,2,40
2022/6/13,スタンポット,油,0.8,7,0,0.8,0
2022/6/13,スタンポット,塩,0.2,0,0,0,78
2022/6/13,スタンポット,こしょう,0.02,0,0,0,0
2022/6/14,麦ごはん,米,70,239,4.3,0.6,1
2022/6/14,麦ごはん,麦,10,33,0.7,0.2,0
2022/6/14,麦ごはん,油,0.3,3,0,0.3,0
2022/6/14,麦ごはん,酒,1,1,0,0,0
2022/6/14,麦ごはん,水,,0,0,0,0
2022/6/14,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/14,とり肉と凍り豆腐の揚げ煮,鶏肉,50,81,9.5,5.1,26
2022/6/14,とり肉と凍り豆腐の揚げ煮,しょうゆ,0.8,1,0.1,0,46
2022/6/14,とり肉と凍り豆腐の揚げ煮,しょうが,0.6,0,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,酒,0.6,1,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,片栗粉,8.4,28,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,凍り豆腐,5,25,2.5,1.7,22
2022/6/14,とり肉と凍り豆腐の揚げ煮,片栗粉,6,20,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,油,35,37,0,4.2,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,長ねぎ,5,1,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,油,0.1,1,0,0.1,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,しょうゆ,4.2,3,0.3,0,239
2022/6/14,とり肉と凍り豆腐の揚げ煮,さとう,2.8,11,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,みりん,1.2,3,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,一味とうがらし,0.01,0,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,水,4.2,0,0,0,0
2022/6/14,とり肉と凍り豆腐の揚げ煮,白ごま,1,6,0.2,0.5,0
2022/6/14,ナムル,もやし,40,6,0.7,0,1
2022/6/14,ナムル,人参,10,3,0.1,0,3
2022/6/14,ナムル,小松菜,20,3,0.3,0,3
2022/6/14,ナムル,しょうゆ,2.5,2,0.2,0,143
2022/6/14,ナムル,ごま油,0.5,4,0,0.5,0
2022/6/15,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/6/15,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/15,銀ひらすの南部焼き,銀ひらす,60,83,11.2,4.7,51
2022/6/15,銀ひらすの南部焼き,しょうゆ,3.5,3,0.3,0,200
2022/6/15,銀ひらすの南部焼き,白ごま,3,18,0.6,1.6,0
2022/6/15,銀ひらすの南部焼き,長ねぎ,0.5,0,0,0,0
2022/6/15,銀ひらすの南部焼き,一味とうがらし,0.01,0,0,0,0
2022/6/15,銀ひらすの南部焼き,酒,1.5,2,0,0,0
2022/6/15,銀ひらすの南部焼き,油,1,9,0,1,0
2022/6/15,八宝みそ汁,大根,20,3,0.1,0,3
2022/6/15,八宝みそ汁,人参,10,3,0.1,0,3
2022/6/15,八宝みそ汁,えのき,5,2,0.1,0,0
2022/6/15,八宝みそ汁,ごぼう,5,3,0.1,0,1
2022/6/15,八宝みそ汁,冷凍豆腐,20,12,1,0.6,1
2022/6/15,八宝みそ汁,冷凍油揚げ,5,21,1.2,1.7,0
2022/6/15,八宝みそ汁,長ねぎ,10,2,0.1,0,0
2022/6/15,八宝みそ汁,小松菜,20,3,0.3,0,3
2022/6/15,八宝みそ汁,かつお節,1.5,0,0,0,0
2022/6/15,八宝みそ汁,赤みそ,5,9,0.7,0.3,255
2022/6/15,八宝みそ汁,白みそ,5,9,0.6,0.3,245
2022/6/15,八宝みそ汁,水,100～120,0,0,0,0
2022/6/16,黒パン,黒パン,50,239,7.2,3.8,359
2022/6/16,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/16,かぼちゃのシチュー,鶏肉,40,65,7.6,4,21
2022/6/16,かぼちゃのシチュー,かぼちゃ,40,28,0.7,0.1,0
2022/6/16,かぼちゃのシチュー,人参,15,4,0.1,0,5
2022/6/16,かぼちゃのシチュー,玉ねぎ,30,9,0.3,0,1
2022/6/16,かぼちゃのシチュー,油,0.7,6,0,0.7,0
2022/6/16,かぼちゃのシチュー,油,1.5,13,0,1.5,0
2022/6/16,かぼちゃのシチュー,バター,1.5,11,0,1.2,11
2022/6/16,かぼちゃのシチュー,小麦粉,3,10,0.2,0,0
2022/6/16,かぼちゃのシチュー,カレー粉,0.3,1,0,0,0
2022/6/16,かぼちゃのシチュー,塩,0.6,0,0,0,234
2022/6/16,かぼちゃのシチュー,こしょう,0.04,0,0,0,0
2022/6/16,かぼちゃのシチュー,ベイリーフ,0.01,0,0,0,0
2022/6/16,かぼちゃのシチュー,調理用牛乳,30,18,1,1.1,12
2022/6/16,かぼちゃのシチュー,脱脂粉乳,10,35,3.4,0.1,57
2022/6/16,かぼちゃのシチュー,濃縮スープ（チキン）,5,1,0.2,0,4
2022/6/16,かぼちゃのシチュー,水,60～70,0,0,0,0
2022/6/16,野菜サラダ,キャベツ,40,7,0.4,0.1,2
2022/6/16,野菜サラダ,人参,5,1,0,0,2
2022/6/16,野菜サラダ,ホールコーン,10,8,0.2,0.1,21
2022/6/16,野菜サラダ,塩,0.27,0,0,0,105
2022/6/16,野菜サラダ,酢,1.4,1,0,0,0
2022/6/16,野菜サラダ,こしょう,0.01,0,0,0,0
2022/6/16,野菜サラダ,サラダ油,2.8,25,0,2.8,0
2022/6/16,ゼリー,いよかんゼリー（鉄）,50,38,0.1,0,13
2022/6/17,麦ごはん,米,70,239,4.3,0.6,1
2022/6/17,麦ごはん,麦,10,33,0.7,0.2,0
2022/6/17,麦ごはん,油,0.3,3,0,0.3,0
2022/6/17,麦ごはん,酒,1,1,0,0,0
2022/6/17,麦ごはん,水,,0,0,0,0
2022/6/17,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/17,肉じゃが,豚肉,40,73,8,4.7,20
2022/6/17,肉じゃが,人参,15,4,0.1,0,5
2022/6/17,肉じゃが,玉ねぎ,40,12,0.4,0,1
2022/6/17,肉じゃが,じゃがいも,90,48,1.5,0.1,1
2022/6/17,肉じゃが,油,1.2,11,0,1.2,0
2022/6/17,肉じゃが,グリンピース,3,2,0.2,0,0
2022/6/17,肉じゃが,さとう,4.5,18,0,0,0
2022/6/17,肉じゃが,しょうゆ,7,5,0.5,0,399
2022/6/17,肉じゃが,みりん,1,2,0,0,0
2022/6/17,いそあえ,キャベツ,40,7,0.4,0.1,2
2022/6/17,いそあえ,ほうれん草,15,3,0.4,0,17
2022/6/17,いそあえ,しょうゆ,2.4,2,0.2,0,137
2022/6/17,いそあえ,のり,0.5,1,0.2,0,3
2022/6/20,カレー南ばん,干しうどん,40,133,3.4,0.4,202
2022/6/20,カレー南ばん,豚肉,10,18,2,1.2,5
2022/6/20,カレー南ばん,人参,8,2,0.1,0,2
2022/6/20,カレー南ばん,玉ねぎ,35,11,0.3,0,1
2022/6/20,カレー南ばん,油,0.5,4,0,0.5,0
2022/6/20,カレー南ばん,長ねぎ,10,2,0.1,0,0
2022/6/20,カレー南ばん,小松菜,20,3,0.3,0,3
2022/6/20,カレー南ばん,かつお節,1.8,0,0,0,0
2022/6/20,カレー南ばん,カレー粉,0.5,2,0.1,0.1,0
2022/6/20,カレー南ばん,一味とうがらし,0.01,0,0,0,0
2022/6/20,カレー南ばん,塩,0.5,0,0,0,195
2022/6/20,カレー南ばん,しょうゆ,6.5,5,0.5,0,371
2022/6/20,カレー南ばん,片栗粉,3,10,0,0,0
2022/6/20,カレー南ばん,水,100～120,0,0,0,0
2022/6/20,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/20,とり肉とじゃがいものから揚げ,鶏肉,45,73,8.6,4.5,23
2022/6/20,とり肉とじゃがいものから揚げ,塩,0.36,0,0,0,140
2022/6/20,とり肉とじゃがいものから揚げ,こしょう,0.03,0,0,0,0
2022/6/20,とり肉とじゃがいものから揚げ,白ワイン,0.45,0,0,0,0
2022/6/20,とり肉とじゃがいものから揚げ,片栗粉,5.5,19,0,0,0
2022/6/20,とり肉とじゃがいものから揚げ,じゃがいも,80,42,1.3,0.1,1
2022/6/20,とり肉とじゃがいものから揚げ,油,35,36,0,4.1,0
2022/6/20,とり肉とじゃがいものから揚げ,塩,0.08,0,0,0,31
2022/6/20,タルト,りんごのタルト,35,105,1.1,4.2,19
2022/6/21,こぎつねずし,米,65,222,4,0.6,1
2022/6/21,こぎつねずし,麦,5,17,0.4,0.1,0
2022/6/21,こぎつねずし,酒,0.8,1,0,0,0
2022/6/21,こぎつねずし,水,,0,0,0,0
2022/6/21,こぎつねずし,さとう,1.8,7,0,0,0
2022/6/21,こぎつねずし,塩,0.7,0,0,0,273
2022/6/21,こぎつねずし,酢,6,4,0,0,1
2022/6/21,こぎつねずし,人参,7,2,0.1,0,2
2022/6/21,こぎつねずし,冷凍油揚げ,15,62,3.5,5.2,1
2022/6/21,こぎつねずし,さとう,3,12,0,0,0
2022/6/21,こぎつねずし,しょうゆ,3.5,3,0.3,0,200
2022/6/21,こぎつねずし,かつお節,1,0,0,0,0
2022/6/21,こぎつねずし,水,20,0,0,0,0
2022/6/21,こぎつねずし,白ごま,1.7,10,0.3,0.9,0
2022/6/21,牛乳,牛乳,206,126,6.8,7.8,84
2022/6/21,とり肉のてり煮,鶏肉,70,113,13.3,7.1,36
2022/6/21,とり肉のてり煮,こんにゃく,25,1,0,0,3
2022/6/21,とり肉のてり煮,しょうが,1.2,0,0,0,0
