D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/10/2,プルコギ丼,米,70,239,4.3,0.6,1
2023/10/2,プルコギ丼,麦,10,33,0.7,0.2,0
2023/10/2,プルコギ丼,油,0.3,3,0,0.3,0
2023/10/2,プルコギ丼,酒,1,1,0,0,0
2023/10/2,プルコギ丼,水,,0,0,0,0
2023/10/2,プルコギ丼,豚肉,60,109,12,7,29
2023/10/2,プルコギ丼,しょうゆ,4,3,0.3,0,228
2023/10/2,プルコギ丼,さとう,2,8,0,0,0
2023/10/2,プルコギ丼,みりん,1,2,0,0,0
2023/10/2,プルコギ丼,酒,1,1,0,0,0
2023/10/2,プルコギ丼,赤みそ,1.5,3,0.2,0.1,77
2023/10/2,プルコギ丼,にんにく,0.2,0,0,0,0
2023/10/2,プルコギ丼,しょうが,0.3,0,0,0,0
2023/10/2,プルコギ丼,人参,10,3,0.1,0,3
2023/10/2,プルコギ丼,玉ねぎ,20,6,0.2,0,0
2023/10/2,プルコギ丼,もやし,30,4,0.5,0,1
2023/10/2,プルコギ丼,油,0.5,4,0,0.5,0
2023/10/2,プルコギ丼,にら,5,1,0.1,0,0
2023/10/2,プルコギ丼,ごま油,0.3,3,0,0.3,0
2023/10/2,プルコギ丼,片栗粉,1,3,0,0,0
2023/10/2,プルコギ丼,水,,0,0,0,0
2023/10/2,牛乳,牛乳,206,126,6.8,7.8,84
2023/10/2,大根サラダ,大根,40,5,0.1,0,6
2023/10/2,大根サラダ,人参,8,2,0.1,0,2
2023/10/2,大根サラダ,きゅうり,7,1,0.1,0,0
2023/10/2,大根サラダ,酢,2.5,1,0,0,0
2023/10/2,大根サラダ,しょうゆ,2,2,0.2,0,114
2023/10/2,大根サラダ,さとう,1,4,0,0,0
2023/10/2,大根サラダ,サラダ油,1,9,0,1,0
2023/10/2,大根サラダ,白ごま,1.6,10,0.3,0.9,0
2023/10/3,ぶどうパン,ぶどうパン,50,250,7.3,3.9,353
2023/10/3,発酵乳,発酵乳,133.4,100,6.1,0.1,92
2023/10/3,とり肉とじゃがいものマヨネーズあえ,鶏肉,50,81,9.5,5.1,26
2023/10/3,とり肉とじゃがいものマヨネーズあえ,塩,0.1,0,0,0,39
2023/10/3,とり肉とじゃがいものマヨネーズあえ,こしょう,0.03,0,0,0,0
2023/10/3,とり肉とじゃがいものマヨネーズあえ,片栗粉,7,24,0,0,0
2023/10/3,とり肉とじゃがいものマヨネーズあえ,じゃがいも,65,35,1.1,0.1,1
2023/10/3,とり肉とじゃがいものマヨネーズあえ,油,35,33,0,3.8,0
2023/10/3,とり肉とじゃがいものマヨネーズあえ,玉ねぎ,30,9,0.3,0,1
2023/10/3,とり肉とじゃがいものマヨネーズあえ,油,0.5,4,0,0.5,0
2023/10/3,とり肉とじゃがいものマヨネーズあえ,卵ぬきマヨネーズ,10,61,0,6.5,74
2023/10/3,とり肉とじゃがいものマヨネーズあえ,トマトケチャップ,1.5,2,0,0,18
2023/10/3,とり肉とじゃがいものマヨネーズあえ,さとう,2,8,0,0,0
2023/10/3,とり肉とじゃがいものマヨネーズあえ,塩,0.05,0,0,0,20
2023/10/3,野菜スープ,人参,15,4,0.1,0,5
2023/10/3,野菜スープ,玉ねぎ,20,6,0.2,0,0
2023/10/3,野菜スープ,キャベツ,20,4,0.2,0,1
2023/10/3,野菜スープ,ウインナーソーセージ（鉄）,2,6,0.3,0.6,12
2023/10/3,野菜スープ,ほうれん草,10,2,0.3,0,11
2023/10/3,野菜スープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/10/3,野菜スープ,塩,0.75,0,0,0,293
2023/10/3,野菜スープ,こしょう,0.03,0,0,0,0
2023/10/3,野菜スープ,しょうゆ,1.5,1,0.1,0,86
2023/10/3,野菜スープ,水,120～130,0,0,0,0
2023/10/4,かた焼きそば,蒸し麺,40,144,4.4,1.2,128
2023/10/4,かた焼きそば,油,35,53,0,6,0
2023/10/4,かた焼きそば,豚肉,35,64,7,4.1,17
2023/10/4,かた焼きそば,人参,10,3,0.1,0,3
2023/10/4,かた焼きそば,玉ねぎ,35,11,0.3,0,1
2023/10/4,かた焼きそば,もやし,25,4,0.4,0,0
2023/10/4,かた焼きそば,白菜,50,6,0.4,0,3
2023/10/4,かた焼きそば,小松菜,10,1,0.2,0,2
2023/10/4,かた焼きそば,干し椎茸,0.8,2,0.2,0,0
2023/10/4,かた焼きそば,油,1,9,0,1,0
2023/10/4,かた焼きそば,グリンピース,3,2,0.2,0,0
2023/10/4,かた焼きそば,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2023/10/4,かた焼きそば,さとう,0.5,2,0,0,0
2023/10/4,かた焼きそば,塩,0.6,0,0,0,234
2023/10/4,かた焼きそば,こしょう,0.04,0,0,0,0
2023/10/4,かた焼きそば,しょうゆ,4,3,0.3,0,228
