C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/11/1,麦ごはん,米,70,239,4.3,0.6,1
2022/11/1,麦ごはん,麦,10,33,0.7,0.2,0
2022/11/1,麦ごはん,油,0.3,3,0,0.3,0
2022/11/1,麦ごはん,酒,1,1,0,0,0
2022/11/1,麦ごはん,水,,0,0,0,0
2022/11/1,牛乳,牛乳,206,126,6.8,7.8,84
2022/11/1,ホイコーロー,豚肉,55,100,11,6.4,27
2022/11/1,ホイコーロー,キャベツ,60,11,0.7,0.1,3
2022/11/1,ホイコーロー,長ねぎ,10,2,0.1,0,0
2022/11/1,ホイコーロー,人参,8,2,0.1,0,2
2022/11/1,ホイコーロー,にんにく,0.5,1,0,0,0
2022/11/1,ホイコーロー,しょうが,0.5,0,0,0,0
2022/11/1,ホイコーロー,ごま油,1.2,11,0,1.2,0
2022/11/1,ホイコーロー,豆板醤,0.3,0,0,0,21
2022/11/1,ホイコーロー,酒,1.5,2,0,0,0
2022/11/1,ホイコーロー,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2022/11/1,ホイコーロー,さとう,0.5,2,0,0,0
2022/11/1,ホイコーロー,しょうゆ,3,2,0.2,0,171
2022/11/1,ホイコーロー,こしょう,0.01,0,0,0,0
2022/11/1,ホイコーロー,甜面醤,6,15,0.5,0.5,174
2022/11/1,ホイコーロー,片栗粉,1,3,0,0,0
2022/11/1,ホイコーロー,水,,0,0,0,0
2022/11/1,ナムル,切り干し大根,3,8,0.3,0,6
2022/11/1,ナムル,人参,10,3,0.1,0,3
2022/11/1,ナムル,小松菜,20,3,0.3,0,3
2022/11/1,ナムル,しょうゆ,2.5,2,0.2,0,143
2022/11/1,ナムル,ごま油,0.3,3,0,0.3,0
2022/11/1,ナムル,白ごま,1,6,0.2,0.5,0
2022/11/2,さつまいもごはん,米,62,212,3.8,0.6,1
2022/11/2,さつまいもごはん,麦,8,27,0.6,0.2,0
2022/11/2,さつまいもごはん,油,0.3,3,0,0.3,0
2022/11/2,さつまいもごはん,酒,0.8,1,0,0,0
2022/11/2,さつまいもごはん,水,,0,0,0,0
2022/11/2,さつまいもごはん,さつまいも,30,34,0.3,0.1,3
2022/11/2,さつまいもごはん,塩,0.5,0,0,0,195
2022/11/2,さつまいもごはん,黒ごま,1.5,9,0.3,0.8,0
2022/11/2,さつまいもごはん,塩,0.08,0,0,0,31
2022/11/2,牛乳,牛乳,206,126,6.8,7.8,84
2022/11/2,とり肉のから揚げ,鶏肉,70,113,13.3,7.1,36
2022/11/2,とり肉のから揚げ,塩,0.52,0,0,0,203
2022/11/2,とり肉のから揚げ,こしょう,0.03,0,0,0,0
2022/11/2,とり肉のから揚げ,白ワイン,0.58,0,0,0,0
2022/11/2,とり肉のから揚げ,片栗粉,9.2,31,0,0,0
2022/11/2,とり肉のから揚げ,油,35,25,0,2.8,0
2022/11/2,ゆずポン酢あえ,キャベツ,50,9,0.6,0.1,2
2022/11/2,ゆずポン酢あえ,人参,10,3,0.1,0,3
2022/11/2,ゆずポン酢あえ,ほうれん草,10,2,0.3,0,11
2022/11/2,ゆずポン酢あえ,しょうゆ,2.8,2,0.2,0,160
2022/11/2,ゆずポン酢あえ,酢,1,1,0,0,0
2022/11/2,ゆずポン酢あえ,さとう,0.7,3,0,0,0
2022/11/2,ゆずポン酢あえ,ゆず果汁,0.5,0,0,0,0
2022/11/4,黒パン,黒パン,50,239,7.2,3.8,359
2022/11/4,牛乳,牛乳,206,126,6.8,7.8,84
2022/11/4,野菜のスープ煮,豚肉,45,82,9,5.3,22
2022/11/4,野菜のスープ煮,ベーコン,3,12,0.4,1.2,24
2022/11/4,野菜のスープ煮,人参,20,5,0.1,0,6
2022/11/4,野菜のスープ煮,じゃがいも,80,42,1.3,0.1,1
2022/11/4,野菜のスープ煮,玉ねぎ,40,12,0.4,0,1
2022/11/4,野菜のスープ煮,濃縮スープ（ポーク）,4.8,3,0.2,0.2,4
2022/11/4,野菜のスープ煮,塩,0.57,0,0,0,222
2022/11/4,野菜のスープ煮,こしょう,0.01,0,0,0,0
2022/11/4,野菜のスープ煮,しょうゆ,0.67,1,0.1,0,38
2022/11/4,野菜のスープ煮,ベイリーフ,0.01,0,0,0,0
2022/11/4,野菜のスープ煮,水,60,0,0,0,0
2022/11/4,ごまマヨネーズサラダ,キャベツ,45,8,0.5,0.1,2
2022/11/4,ごまマヨネーズサラダ,きゅうり,10,1,0.1,0,0
2022/11/4,ごまマヨネーズサラダ,白ごま,1.6,10,0.3,1,0
2022/11/4,ごまマヨネーズサラダ,しょうゆ,2.1,2,0.2,0,120
2022/11/4,ごまマヨネーズサラダ,卵ぬきマヨネーズ,1.3,8,0,0.8,10
2022/11/4,ごまマヨネーズサラダ,からし粉,0.1,0,0,0,0
2022/11/4,ごまマヨネーズサラダ,さとう,0.9,4,0,0,0
2022/11/4,ごまマヨネーズサラダ,酢,0.9,1,0,0,0
2022/11/4,くだもの,みかん,100,39,0.6,0.1,1
2022/11/7,チーズパン,チーズパンB,50,250,9.2,6.6,422
2022/11/7,プルーン発酵乳,プルーン発酵乳,213,160,6.4,2.8,192
2022/11/7,あじのカリカリフライ,あじ,35,39,6.9,1.6,46
2022/11/7,あじのカリカリフライ,塩,0.07,0,0,0,27
2022/11/7,あじのカリカリフライ,こしょう,0.03,0,0,0,0
2022/11/7,あじのカリカリフライ,小麦粉,3,10,0.2,0,0
2022/11/7,あじのカリカリフライ,小麦粉,3,10,0.2,0,0
2022/11/7,あじのカリカリフライ,水,8～12,0,0,0,0
2022/11/7,あじのカリカリフライ,パン粉,4.5,17,0.7,0.3,21
2022/11/7,あじのカリカリフライ,大豆フレーク,4,17,1.4,0.9,0
2022/11/7,あじのカリカリフライ,油,35,35,0,4,0
2022/11/7,あじのカリカリフライ,中濃ソース,4,5,0,0,92
2022/11/7,ミネストローネ,玉ねぎ,20,6,0.2,0,0
2022/11/7,ミネストローネ,じゃがいも,25,13,0.4,0,0
2022/11/7,ミネストローネ,キャベツ,20,4,0.2,0,1
2022/11/7,ミネストローネ,人参,12,3,0.1,0,4
2022/11/7,ミネストローネ,ベーコン,1.5,6,0.2,0.6,12
2022/11/7,ミネストローネ,にんにく,0.02,0,0,0,0
2022/11/7,ミネストローネ,油,0.8,7,0,0.8,0
2022/11/7,ミネストローネ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/11/7,ミネストローネ,ダイストマト,25,5,0.2,0.1,1
2022/11/7,ミネストローネ,塩,0.8,0,0,0,312
2022/11/7,ミネストローネ,こしょう,0.01,0,0,0,0
2022/11/7,ミネストローネ,アルファベットマカロニ,6,21,0.8,0.1,0
2022/11/7,ミネストローネ,乾燥パセリ,0.05,0,0,0,0
2022/11/7,ミネストローネ,水,100～120,0,0,0,0
2022/11/8,豚すき丼,米,70,239,4.3,0.6,1
