D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/8/30,タイ風焼きそば,蒸し麺,45,164,5,1.5,144
2022/8/30,タイ風焼きそば,豚肉,30,55,6,3.5,15
2022/8/30,タイ風焼きそば,人参,10,3,0.1,0,3
2022/8/30,タイ風焼きそば,玉ねぎ,35,11,0.3,0,1
2022/8/30,タイ風焼きそば,もやし,40,6,0.7,0,1
2022/8/30,タイ風焼きそば,油,2,18,0,2,0
2022/8/30,タイ風焼きそば,にら,5,1,0.1,0,0
2022/8/30,タイ風焼きそば,しょうゆ,5.5,4,0.4,0,314
2022/8/30,タイ風焼きそば,トマトケチャップ,5,5,0.1,0,60
2022/8/30,タイ風焼きそば,オイスターソース,2,2,0.2,0,90
2022/8/30,タイ風焼きそば,さとう,2,8,0,0,0
2022/8/30,牛乳,牛乳,206,126,6.8,7.8,84
2022/8/30,揚げ大豆,大豆（ボイル）,50,82,7.4,4.9,1
2022/8/30,揚げ大豆,片栗粉,5,17,0,0,0
2022/8/30,揚げ大豆,油,35,35,0,4,0
2022/8/30,揚げ大豆,塩,0.21,0,0,0,82
2022/8/30,ミックスフルーツ,みかん缶,25,16,0.1,0,1
2022/8/30,ミックスフルーツ,りんご缶,25,20,0.1,0,1
2022/8/30,ミックスフルーツ,ぶどうダイスゼリー,20,18,0,0,11
2022/8/30,ミックスフルーツ,かんづめの汁,30,19,0.1,0,1
2022/8/31,ぶどうパン,ぶどうパン,50,250,7.3,3.8,353
2022/8/31,牛乳,牛乳,206,126,6.8,7.8,84
2022/8/31,とり肉のマヨネーズ炒め,鶏肉,60,97,11.4,6.1,31
2022/8/31,とり肉のマヨネーズ炒め,キャベツ,20,4,0.2,0,1
2022/8/31,とり肉のマヨネーズ炒め,人参,10,3,0.1,0,3
2022/8/31,とり肉のマヨネーズ炒め,もやし,20,3,0.3,0,0
2022/8/31,とり肉のマヨネーズ炒め,卵ぬきマヨネーズ,5,30,0,3.3,37
2022/8/31,とり肉のマヨネーズ炒め,しょうゆ,1,1,0.1,0,57
2022/8/31,とり肉のマヨネーズ炒め,塩,0.4,0,0,0,156
2022/8/31,とり肉のマヨネーズ炒め,こしょう,0.01,0,0,0,0
2022/8/31,ミネストローネ,豚肉,10,18,2,1.2,5
2022/8/31,ミネストローネ,ベーコン,2,8,0.3,0.8,16
2022/8/31,ミネストローネ,にんにく,0.02,0,0,0,0
2022/8/31,ミネストローネ,人参,10,3,0.1,0,3
2022/8/31,ミネストローネ,玉ねぎ,20,6,0.2,0,0
2022/8/31,ミネストローネ,じゃがいも,25,13,0.4,0,0
2022/8/31,ミネストローネ,油,0.8,7,0,0.8,0
2022/8/31,ミネストローネ,アルファベットマカロニ,6,21,0.8,0.1,0
2022/8/31,ミネストローネ,白花豆ペースト,10,11,0.6,0.1,0
2022/8/31,ミネストローネ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/8/31,ミネストローネ,トマトケチャップ,10,11,0.2,0,120
2022/8/31,ミネストローネ,ダイストマト,10,2,0.1,0,0
2022/8/31,ミネストローネ,塩,0.5,0,0,0,195
2022/8/31,ミネストローネ,こしょう,0.02,0,0,0,0
2022/8/31,ミネストローネ,水,100～120,0,0,0,0
2022/9/1,ツナそぼろごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/9/1,ツナそぼろごはん,ツナ,55,146,9.7,11.9,187
2022/9/1,ツナそぼろごはん,凍り豆腐,5,25,2.5,1.7,22
2022/9/1,ツナそぼろごはん,人参,10,3,0.1,0,3
2022/9/1,ツナそぼろごはん,しょうが,0.7,0,0,0,0
2022/9/1,ツナそぼろごはん,しょうゆ,3.9,3,0.3,0,222
2022/9/1,ツナそぼろごはん,さとう,2.6,10,0,0,0
2022/9/1,ツナそぼろごはん,酒,1.5,2,0,0,0
2022/9/1,ツナそぼろごはん,みりん,0.8,2,0,0,0
2022/9/1,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/1,みそワンタン,ウェーブワンタン,7,25,0.8,0.1,11
2022/9/1,みそワンタン,豚肉,15,27,3,1.8,7
2022/9/1,みそワンタン,人参,10,3,0.1,0,3
2022/9/1,みそワンタン,キャベツ,20,4,0.2,0,1
2022/9/1,みそワンタン,もやし,30,4,0.5,0,1
2022/9/1,みそワンタン,にんにく,0.2,0,0,0,0
2022/9/1,みそワンタン,しょうが,0.2,0,0,0,0
2022/9/1,みそワンタン,油,0.5,4,0,0.5,0
2022/9/1,みそワンタン,小松菜,10,1,0.2,0,2
2022/9/1,みそワンタン,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/9/1,みそワンタン,しょうゆ,1.5,1,0.1,0,86
2022/9/1,みそワンタン,酒,1,1,0,0,0
2022/9/1,みそワンタン,赤みそ,7,12,0.9,0.4,357
2022/9/1,みそワンタン,水,100～120,0,0,0,0
2022/9/1,みそワンタン,ごま油,0.5,4,0,0.5,0
2022/9/2,豚すき丼,米,70,239,4.3,0.6,1
2022/9/2,豚すき丼,麦,10,33,0.7,0.2,0
2022/9/2,豚すき丼,油,0.3,3,0,0.3,0
2022/9/2,豚すき丼,酒,1,1,0,0,0
2022/9/2,豚すき丼,水,,0,0,0,0
2022/9/2,豚すき丼,豚肉,40,73,8,4.7,20
2022/9/2,豚すき丼,凍り豆腐,7,35,3.5,2.4,31
2022/9/2,豚すき丼,しらたき,25,2,0.1,0,3
2022/9/2,豚すき丼,人参,12,3,0.1,0,4
2022/9/2,豚すき丼,長ねぎ,15,3,0.1,0,0
2022/9/2,豚すき丼,白菜,40,5,0.3,0,2
2022/9/2,豚すき丼,油,1.1,10,0,1.1,0
2022/9/2,豚すき丼,さとう,3.2,13,0,0,0
2022/9/2,豚すき丼,しょうゆ,7.5,6,0.6,0,428
2022/9/2,豚すき丼,酒,0.9,1,0,0,0
2022/9/2,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/2,切り干し大根のサラダ,切り干し大根,3.5,10,0.3,0,7
2022/9/2,切り干し大根のサラダ,人参,8,2,0.1,0,2
2022/9/2,切り干し大根のサラダ,もやし,20,3,0.3,0,0
2022/9/2,切り干し大根のサラダ,小松菜,10,1,0.2,0,2
2022/9/2,切り干し大根のサラダ,酢,1.8,1,0,0,0
2022/9/2,切り干し大根のサラダ,しょうゆ,2.7,2,0.2,0,154
2022/9/2,切り干し大根のサラダ,さとう,0.8,3,0,0,0
2022/9/2,切り干し大根のサラダ,サラダ油,1,9,0,1,0
2022/9/2,切り干し大根のサラダ,ごま油,1,9,0,1,0
2022/9/2,切り干し大根のサラダ,一味とうがらし,0.01,0,0,0,0
2022/9/5,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/9/5,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/5,とり肉とさつまいものうま煮,鶏肉,40,65,7.6,4,21
2022/9/5,とり肉とさつまいものうま煮,しょうゆ,1,1,0.1,0,57
2022/9/5,とり肉とさつまいものうま煮,しょうが,0.5,0,0,0,0
2022/9/5,とり肉とさつまいものうま煮,酒,0.5,1,0,0,0
2022/9/5,とり肉とさつまいものうま煮,片栗粉,7,24,0,0,0
2022/9/5,とり肉とさつまいものうま煮,さつまいも,40,46,0.4,0.1,4
2022/9/5,とり肉とさつまいものうま煮,油,35,44,0,5,0
2022/9/5,とり肉とさつまいものうま煮,人参,10,3,0.1,0,3
2022/9/5,とり肉とさつまいものうま煮,玉ねぎ,30,9,0.3,0,1
2022/9/5,とり肉とさつまいものうま煮,油,0.7,6,0,0.7,0
2022/9/5,とり肉とさつまいものうま煮,さとう,2.7,11,0,0,0
2022/9/5,とり肉とさつまいものうま煮,しょうゆ,4.5,3,0.3,0,257
2022/9/5,とり肉とさつまいものうま煮,片栗粉,1.5,5,0,0,0
2022/9/5,とり肉とさつまいものうま煮,水,20～25,0,0,0,0
2022/9/5,ごま酢あえ,キャベツ,45,8,0.5,0.1,2
2022/9/5,ごま酢あえ,人参,5,1,0,0,2
2022/9/5,ごま酢あえ,小松菜,5,1,0.1,0,1
2022/9/5,ごま酢あえ,しょうゆ,2.4,2,0.2,0,137
2022/9/5,ごま酢あえ,さとう,1.5,6,0,0,0
2022/9/5,ごま酢あえ,酢,2.5,1,0,0,0
2022/9/5,ごま酢あえ,白ごま,2.5,15,0.5,1.3,0
2022/9/6,食パン,食パン,60,249,8.3,4.6,421
2022/9/6,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/6,メキシカンソース,豚ひき肉,45,82,9,5.3,22
2022/9/6,メキシカンソース,大豆ミート,6.5,23,3,0.2,0
2022/9/6,メキシカンソース,玉ねぎ,40,12,0.4,0,1
2022/9/6,メキシカンソース,人参,15,4,0.1,0,5
2022/9/6,メキシカンソース,ホールコーン,15,12,0.3,0.1,32
2022/9/6,メキシカンソース,マッシュルーム,3,1,0.1,0,11
2022/9/6,メキシカンソース,にんにく,0.07,0,0,0,0
2022/9/6,メキシカンソース,油,0.8,7,0,0.8,0
2022/9/6,メキシカンソース,グリンピース,3,2,0.2,0,0
2022/9/6,メキシカンソース,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2022/9/6,メキシカンソース,ナツメグ,0.01,0,0,0,0
2022/9/6,メキシカンソース,ベイリーフ,0.01,0,0,0,0
2022/9/6,メキシカンソース,トマトケチャップ,15,16,0.2,0,180
2022/9/6,メキシカンソース,チリパウダー,0.06,0,0,0,2
2022/9/6,メキシカンソース,一味とうがらし,0.02,0,0,0,0
2022/9/6,メキシカンソース,塩,0.13,0,0,0,51
2022/9/6,メキシカンソース,こしょう,0.01,0,0,0,0
2022/9/6,メキシカンソース,さとう,0.6,2,0,0,0
2022/9/6,メキシカンソース,しょうゆ,0.6,0,0,0,34
2022/9/6,メキシカンソース,水,15,0,0,0,0
2022/9/6,メキシカンソース,米粉,3,11,0.2,0,0
2022/9/6,メキシカンソース,水,,0,0,0,0
2022/9/6,白菜スープ,人参,5,1,0,0,2
2022/9/6,白菜スープ,玉ねぎ,10,3,0.1,0,0
2022/9/6,白菜スープ,白菜,40,5,0.3,0,2
2022/9/6,白菜スープ,ベーコン,2,8,0.3,0.8,16
2022/9/6,白菜スープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/9/6,白菜スープ,塩,0.8,0,0,0,312
2022/9/6,白菜スープ,こしょう,0.03,0,0,0,0
2022/9/6,白菜スープ,しょうゆ,1.5,1,0.1,0,86
2022/9/6,白菜スープ,水,120～130,0,0,0,0
2022/9/7,麦ごはん,米,70,239,4.3,0.6,1
2022/9/7,麦ごはん,麦,10,33,0.7,0.2,0
2022/9/7,麦ごはん,油,0.3,3,0,0.3,0
2022/9/7,麦ごはん,酒,1,1,0,0,0
2022/9/7,麦ごはん,水,,0,0,0,0
2022/9/7,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/7,とり肉の南部焼き,鶏肉,70,113,13.3,7.1,36
2022/9/7,とり肉の南部焼き,しょうゆ,4,3,0.3,0,228
2022/9/7,とり肉の南部焼き,白ごま,3,18,0.6,1.6,0
2022/9/7,とり肉の南部焼き,長ねぎ,0.5,0,0,0,0
2022/9/7,とり肉の南部焼き,一味とうがらし,0.01,0,0,0,0
2022/9/7,とり肉の南部焼き,酒,1,1,0,0,0
2022/9/7,沢煮わん,豚肉,15,27,3,1.8,7
2022/9/7,沢煮わん,人参,8,2,0.1,0,2
2022/9/7,沢煮わん,大根,20,3,0.1,0,3
2022/9/7,沢煮わん,長ねぎ,8,2,0.1,0,0
2022/9/7,沢煮わん,白菜,20,2,0.2,0,1
2022/9/7,沢煮わん,干し椎茸,0.5,1,0.1,0,0
2022/9/7,沢煮わん,小松菜,15,2,0.2,0,2
2022/9/7,沢煮わん,かつお節,1.5,0,0,0,0
2022/9/7,沢煮わん,塩,0.6,0,0,0,234
2022/9/7,沢煮わん,しょうゆ,2.5,2,0.2,0,143
2022/9/7,沢煮わん,みりん,1,2,0,0,0
2022/9/7,沢煮わん,水,100～120,0,0,0,0
2022/9/7,味付けおかか,味付けおかか,4,10,1.2,0.1,148
2022/9/8,カレースパゲッティ,スパゲッティ,60,208,7.7,1.1,1
2022/9/8,カレースパゲッティ,塩,1.2,0,0,0,0
2022/9/8,カレースパゲッティ,サラダ油,3,12,0,1.3,0
2022/9/8,カレースパゲッティ,豚ひき肉,35,64,7,4.1,17
2022/9/8,カレースパゲッティ,大豆ミート,4,14,1.9,0.1,0
2022/9/8,カレースパゲッティ,人参,12,3,0.1,0,4
2022/9/8,カレースパゲッティ,玉ねぎ,35,11,0.3,0,1
2022/9/8,カレースパゲッティ,キャベツ,25,4,0.3,0,1
2022/9/8,カレースパゲッティ,油,1,9,0,1,0
2022/9/8,カレースパゲッティ,グリンピース,3,2,0.2,0,0
2022/9/8,カレースパゲッティ,カレー粉,0.8,3,0.1,0.1,0
2022/9/8,カレースパゲッティ,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2022/9/8,カレースパゲッティ,トマトケチャップ,3,3,0,0,36
2022/9/8,カレースパゲッティ,中濃ソース,6,8,0,0,138
2022/9/8,カレースパゲッティ,塩,1,0,0,0,390
2022/9/8,カレースパゲッティ,水,50～60,0,0,0,0
2022/9/8,カレースパゲッティ,米粉,6,21,0.4,0,0
2022/9/8,カレースパゲッティ,水,,0,0,0,0
2022/9/8,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/8,もやしのサラダ,もやし,45,7,0.7,0,1
2022/9/8,もやしのサラダ,きゅうり,5,1,0,0,0
2022/9/8,もやしのサラダ,ホールコーン,10,8,0.2,0.1,21
2022/9/8,もやしのサラダ,しょうゆ,2.6,2,0.2,0,148
2022/9/8,もやしのサラダ,酢,1.8,1,0,0,0
2022/9/8,もやしのサラダ,さとう,0.2,1,0,0,0
2022/9/8,もやしのサラダ,サラダ油,1.4,12,0,1.4,0
2022/9/8,もやしのサラダ,白ごま,1,6,0.2,0.5,0
2022/9/8,タルト,ブルーベリータルト,25,84,0.9,3.7,12
2022/9/9,切り干し大根のたきこみごはん,米,60,205,3.7,0.5,1
2022/9/9,切り干し大根のたきこみごはん,麦,5,17,0.4,0.1,0
2022/9/9,切り干し大根のたきこみごはん,もち米,5,17,0.3,0.1,0
2022/9/9,切り干し大根のたきこみごはん,酒,0.8,1,0,0,0
2022/9/9,切り干し大根のたきこみごはん,水,,0,0,0,0
2022/9/9,切り干し大根のたきこみごはん,鶏肉,15,24,2.9,1.5,8
2022/9/9,切り干し大根のたきこみごはん,ごぼう,3,2,0,0,0
2022/9/9,切り干し大根のたきこみごはん,人参,5,1,0,0,2
2022/9/9,切り干し大根のたきこみごはん,冷凍油揚げ,6,25,1.4,2.1,0
2022/9/9,切り干し大根のたきこみごはん,油,0.3,3,0,0.3,0
2022/9/9,切り干し大根のたきこみごはん,切り干し大根,5,14,0.5,0,11
2022/9/9,切り干し大根のたきこみごはん,さとう,1,4,0,0,0
2022/9/9,切り干し大根のたきこみごはん,しょうゆ,5.8,4,0.4,0,331
2022/9/9,切り干し大根のたきこみごはん,みりん,0.7,2,0,0,0
2022/9/9,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/9,あじのこはく揚げ,あじ,35,39,6.9,1.6,46
2022/9/9,あじのこはく揚げ,しょうゆ,1.2,1,0.1,0,68
2022/9/9,あじのこはく揚げ,赤みそ,0.8,1,0.1,0,41
2022/9/9,あじのこはく揚げ,しょうが,0.7,0,0,0,0
2022/9/9,あじのこはく揚げ,酒,0.8,1,0,0,0
2022/9/9,あじのこはく揚げ,片栗粉,12,41,0,0,0
2022/9/9,あじのこはく揚げ,油,35,21,0,2.4,0
2022/9/9,おひたし,キャベツ,50,9,0.6,0.1,2
2022/9/9,おひたし,小松菜,15,2,0.2,0,2
2022/9/9,おひたし,しょうゆ,2.8,2,0.2,0,160
2022/9/12,ハヤシライス,米,70,239,4.3,0.6,1
2022/9/12,ハヤシライス,麦,10,33,0.7,0.2,0
2022/9/12,ハヤシライス,油,0.3,3,0,0.3,0
2022/9/12,ハヤシライス,酒,1,1,0,0,0
2022/9/12,ハヤシライス,水,,0,0,0,0
2022/9/12,ハヤシライス,豚肉,30,55,6,3.5,15
2022/9/12,ハヤシライス,人参,12,3,0.1,0,4
2022/9/12,ハヤシライス,玉ねぎ,50,16,0.5,0,1
2022/9/12,ハヤシライス,じゃがいも,40,21,0.6,0,0
2022/9/12,ハヤシライス,油,0.7,6,0,0.7,0
2022/9/12,ハヤシライス,グリンピース,3,2,0.2,0,0
2022/9/12,ハヤシライス,油,5,44,0,5,0
2022/9/12,ハヤシライス,小麦粉,6,21,0.5,0.1,0
2022/9/12,ハヤシライス,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2022/9/12,ハヤシライス,トマトケチャップ,10,11,0.2,0,120
2022/9/12,ハヤシライス,デミグラスソース,5,4,0.1,0.2,26
2022/9/12,ハヤシライス,中濃ソース,3,4,0,0,69
2022/9/12,ハヤシライス,さとう,0.5,2,0,0,0
2022/9/12,ハヤシライス,塩,0.7,0,0,0,273
2022/9/12,ハヤシライス,こしょう,0.03,0,0,0,0
2022/9/12,ハヤシライス,ナツメグ,0.01,0,0,0,0
2022/9/12,ハヤシライス,赤ワイン,1,1,0,0,0
2022/9/12,ハヤシライス,ベイリーフ,0.01,0,0,0,0
2022/9/12,ハヤシライス,水,60～70,0,0,0,0
2022/9/12,牛乳　,牛乳,206,126,6.8,7.8,84
2022/9/12,ごまマヨネーズサラダ,キャベツ,50,9,0.6,0.1,2
2022/9/12,ごまマヨネーズサラダ,きゅうり,5,1,0,0,0
2022/9/12,ごまマヨネーズサラダ,白ごま,1.6,10,0.3,1,0
2022/9/12,ごまマヨネーズサラダ,しょうゆ,2.1,2,0.2,0,120
2022/9/12,ごまマヨネーズサラダ,卵ぬきマヨネーズ,1.3,8,0,0.8,10
2022/9/12,ごまマヨネーズサラダ,からし粉,0.1,0,0,0,0
2022/9/12,ごまマヨネーズサラダ,さとう,0.9,4,0,0,0
2022/9/12,ごまマヨネーズサラダ,酢,0.9,1,0,0,0
2022/9/13,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/9/13,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/13,ホキのカリカリフライ,ホキ,60,47,10.2,0.8,96
2022/9/13,ホキのカリカリフライ,塩,0.2,0,0,0,78
2022/9/13,ホキのカリカリフライ,こしょう,0.05,0,0,0,0
2022/9/13,ホキのカリカリフライ,小麦粉,4,14,0.3,0.1,0
2022/9/13,ホキのカリカリフライ,小麦粉,5,17,0.4,0.1,0
2022/9/13,ホキのカリカリフライ,水,7,0,0,0,0
2022/9/13,ホキのカリカリフライ,パン粉,7,26,1,0.5,32
2022/9/13,ホキのカリカリフライ,大豆フレーク,6,26,2.1,1.3,0
2022/9/13,ホキのカリカリフライ,油,35,53,0,6,0
2022/9/13,ボイルキャベツ,キャベツ,40,7,0.4,0.1,2
2022/9/13,ボイルキャベツ,中濃ソース,10,13,0.1,0,230
2022/9/13,みそ汁,人参,12,3,0.1,0,4
2022/9/13,みそ汁,玉ねぎ,30,9,0.3,0,1
2022/9/13,みそ汁,小松菜,15,2,0.2,0,2
2022/9/13,みそ汁,かつお節,1.5,0,0,0,0
2022/9/13,みそ汁,白みそ,9,16,1.1,0.5,441
2022/9/13,みそ汁,水,120～140,0,0,0,0
2022/9/14,麦ごはん,米,70,239,4.3,0.6,1
2022/9/14,麦ごはん,麦,10,33,0.7,0.2,0
2022/9/14,麦ごはん,油,0.3,3,0,0.3,0
2022/9/14,麦ごはん,酒,1,1,0,0,0
2022/9/14,麦ごはん,水,,0,0,0,0
2022/9/14,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/14,豚肉のキムチ炒め,豚肉,60,109,12,7,29
2022/9/14,豚肉のキムチ炒め,玉ねぎ,30,9,0.3,0,1
2022/9/14,豚肉のキムチ炒め,人参,15,4,0.1,0,5
2022/9/14,豚肉のキムチ炒め,しょうが,0.5,0,0,0,0
2022/9/14,豚肉のキムチ炒め,にんにく,0.2,0,0,0,0
2022/9/14,豚肉のキムチ炒め,油,1,9,0,1,0
2022/9/14,豚肉のキムチ炒め,にら,4,1,0.1,0,0
2022/9/14,豚肉のキムチ炒め,白菜キムチ,15,6,0.3,0,348
2022/9/14,豚肉のキムチ炒め,トック,20,46,0.8,0.1,24
2022/9/14,豚肉のキムチ炒め,しょうゆ,1.2,1,0.1,0,68
2022/9/14,豚肉のキムチ炒め,酒,1,1,0,0,0
2022/9/14,豚肉のキムチ炒め,さとう,1,4,0,0,0
2022/9/14,豚肉のキムチ炒め,塩,0.1,0,0,0,39
2022/9/14,豚肉のキムチ炒め,こしょう,0.01,0,0,0,0
2022/9/14,豚肉のキムチ炒め,オイスターソース,0.4,0,0,0,18
2022/9/14,豚肉のキムチ炒め,片栗粉,0.6,2,0,0,0
2022/9/14,豚肉のキムチ炒め,水,,0,0,0,0
2022/9/14,塩ナムル,もやし,45,7,0.7,0,1
2022/9/14,塩ナムル,小松菜,20,3,0.3,0,3
2022/9/14,塩ナムル,ごま油,0.4,4,0,0.4,0
2022/9/14,塩ナムル,酢,0.9,1,0,0,0
2022/9/14,塩ナムル,塩,0.37,0,0,0,144
2022/9/14,塩ナムル,白ごま,1,6,0.2,0.5,0
2022/9/15,ぶどうパン,ぶどうパン,50,250,7.3,3.8,353
2022/9/15,牛乳,牛乳,206,126,6.8,7.8,84
2022/9/15,コーンチャウダー,豚肉,15,27,3,1.8,7
2022/9/15,コーンチャウダー,人参,15,4,0.1,0,5
2022/9/15,コーンチャウダー,じゃがいも,50,27,0.8,0,0
2022/9/15,コーンチャウダー,玉ねぎ,30,9,0.3,0,1
2022/9/15,コーンチャウダー,ベーコン,2,8,0.3,0.8,16
2022/9/15,コーンチャウダー,油,0.7,6,0,0.7,0
2022/9/15,コーンチャウダー,クリームコーン,50,41,0.9,0.3,130
2022/9/15,コーンチャウダー,油,1.3,11,0,1.3,0
2022/9/15,コーンチャウダー,バター,1.2,8,0,1,9
2022/9/15,コーンチャウダー,小麦粉,3,10,0.2,0,0
