D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/10/3,ソフトフランス,ソフトフランス,50,217,7,3.8,351
2022/10/3,発酵乳,プルーン発酵乳,213,160,6.4,2.8,192
2022/10/3,カリカリカツ,豚肉,50,124,9.7,9.6,21
2022/10/3,カリカリカツ,塩,0.2,0,0,0,78
2022/10/3,カリカリカツ,こしょう,0.04,0,0,0,0
2022/10/3,カリカリカツ,小麦粉,4,14,0.3,0.1,0
2022/10/3,カリカリカツ,小麦粉,5,17,0.4,0.1,0
2022/10/3,カリカリカツ,水,7,0,0,0,0
2022/10/3,カリカリカツ,パン粉,6,22,0.9,0.4,28
2022/10/3,カリカリカツ,大豆フレーク,6,26,2.1,1.3,0
2022/10/3,カリカリカツ,油,35,62,0,7,0
2022/10/3,カリカリカツ,赤みそ,5,9,0.7,0.3,255
2022/10/3,カリカリカツ,みりん,2,5,0,0,0
2022/10/3,カリカリカツ,さとう,2.2,9,0,0,0
2022/10/3,カリカリカツ,しょうゆ,1.2,1,0.1,0,68
2022/10/3,カリカリカツ,トマトケチャップ,1,1,0,0,12
2022/10/3,カリカリカツ,中濃ソース,1,1,0,0,23
2022/10/3,カリカリカツ,水,1,0,0,0,0
2022/10/3,野菜スープ,人参,10,3,0.1,0,3
2022/10/3,野菜スープ,玉ねぎ,20,6,0.2,0,0
2022/10/3,野菜スープ,キャベツ,30,5,0.3,0.1,1
2022/10/3,野菜スープ,干し椎茸,0.5,1,0.1,0,0
2022/10/3,野菜スープ,ベーコン,2,8,0.3,0.8,16
2022/10/3,野菜スープ,ほうれん草,15,3,0.4,0,17
2022/10/3,野菜スープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/10/3,野菜スープ,塩,0.8,0,0,0,312
2022/10/3,野菜スープ,こしょう,0.03,0,0,0,0
2022/10/3,野菜スープ,しょうゆ,1.5,1,0.1,0,86
2022/10/3,野菜スープ,水,120～130,0,0,0,0
2022/10/4,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/10/4,牛乳,牛乳,206,126,6.8,7.8,84
2022/10/4,五目煮,豚肉,40,73,8,4.7,20
2022/10/4,五目煮,さつま揚げ,15,20,1.9,0.6,110
2022/10/4,五目煮,ごぼう,12,6,0.2,0,2
2022/10/4,五目煮,人参,15,4,0.1,0,5
2022/10/4,五目煮,じゃがいも,65,35,1.1,0.1,1
2022/10/4,五目煮,こんにゃく,25,1,0,0,3
2022/10/4,五目煮,油,1.2,11,0,1.2,0
2022/10/4,五目煮,グリンピース,3,2,0.2,0,0
2022/10/4,五目煮,さとう,5,20,0,0,0
2022/10/4,五目煮,しょうゆ,6,5,0.5,0,342
2022/10/4,五目煮,みりん,1,2,0,0,0
2022/10/4,浅漬け,キャベツ,45,8,0.5,0.1,2
2022/10/4,浅漬け,きゅうり,10,1,0.1,0,0
2022/10/4,浅漬け,塩,0.4,0,0,0,156
2022/10/4,浅漬け,白ごま,1,6,0.2,0.5,0
2022/10/5,とり肉ときのこのクリームスパゲッティ,スパゲッティ,60,208,7.7,1.1,1
2022/10/5,とり肉ときのこのクリームスパゲッティ,塩,1.2,0,0,0,0
2022/10/5,とり肉ときのこのクリームスパゲッティ,サラダ油,3,12,0,1.3,0
2022/10/5,とり肉ときのこのクリームスパゲッティ,鶏肉,25,41,4.8,2.5,13
2022/10/5,とり肉ときのこのクリームスパゲッティ,白ワイン,1,1,0,0,0
2022/10/5,とり肉ときのこのクリームスパゲッティ,玉ねぎ,20,6,0.2,0,0
2022/10/5,とり肉ときのこのクリームスパゲッティ,ベーコン,3,12,0.4,1.2,24
