C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/1/16,野菜スープ,こしょう,0.03,0,0,0,0
2023/1/16,野菜スープ,しょうゆ,1.5,1,0.1,0,86
2023/1/16,野菜スープ,水,120～130,0,0,0,0
2023/1/16,チーズ,ベビーチーズ（鉄）,15,47,2.7,3.7,197
2023/1/17,牛すき丼,米（委託炊飯）,80,274,4.9,0.7,1
2023/1/17,牛すき丼,牛肉,40,78,7.8,5.3,20
2023/1/17,牛すき丼,凍り豆腐,6,30,3,2,26
2023/1/17,牛すき丼,しらたき,30,2,0.1,0,3
2023/1/17,牛すき丼,長ねぎ,10,2,0.1,0,0
2023/1/17,牛すき丼,白菜,50,6,0.4,0,3
2023/1/17,牛すき丼,油,1.2,11,0,1.2,0
2023/1/17,牛すき丼,さとう,3.4,13,0,0,0
2023/1/17,牛すき丼,しょうゆ,7,5,0.5,0,399
2023/1/17,牛すき丼,酒,1,1,0,0,0
2023/1/17,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/17,白玉雑煮,鶏肉,20,32,3.8,2,10
2023/1/17,白玉雑煮,人参,15,4,0.1,0,5
2023/1/17,白玉雑煮,大根,20,3,0.1,0,3
2023/1/17,白玉雑煮,干し椎茸,0.5,1,0.1,0,0
2023/1/17,白玉雑煮,小松菜,15,2,0.2,0,2
2023/1/17,白玉雑煮,白玉もち,20,39,0.7,0.1,1
2023/1/17,白玉雑煮,かつお節,1.5,0,0,0,0
2023/1/17,白玉雑煮,塩,0.7,0,0,0,273
2023/1/17,白玉雑煮,しょうゆ,2,2,0.2,0,114
2023/1/17,白玉雑煮,水,120～130,0,0,0,0
2023/1/18,とりごぼうのピラフ,米,62,212,3.8,0.6,1
2023/1/18,とりごぼうのピラフ,麦,8,27,0.6,0.2,0
2023/1/18,とりごぼうのピラフ,酒,0.8,1,0,0,0
2023/1/18,とりごぼうのピラフ,水,,0,0,0,0
2023/1/18,とりごぼうのピラフ,鶏肉,15,24,2.9,1.5,8
2023/1/18,とりごぼうのピラフ,ごぼう,8,4,0.1,0,1
2023/1/18,とりごぼうのピラフ,人参,5,1,0,0,2
2023/1/18,とりごぼうのピラフ,玉ねぎ,15,5,0.1,0,0
2023/1/18,とりごぼうのピラフ,しょうが,0.1,0,0,0,0
2023/1/18,とりごぼうのピラフ,油,1.1,10,0,1.1,0
2023/1/18,とりごぼうのピラフ,濃縮スープ（チキン）,2,0,0.1,0,2
2023/1/18,とりごぼうのピラフ,塩,0.9,0,0,0,351
2023/1/18,とりごぼうのピラフ,こしょう,0.02,0,0,0,0
2023/1/18,とりごぼうのピラフ,グリンピース,3,2,0.2,0,0
2023/1/18,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/18,肉団子,肉団子,60,133,9.1,8.2,81
2023/1/18,肉団子,油,35,11,0,1.2,0
2023/1/18,肉団子,さとう,1.1,4,0,0,0
2023/1/18,肉団子,しょうゆ,2.2,2,0.2,0,125
2023/1/18,肉団子,みりん,1.1,3,0,0,0
2023/1/18,肉団子,片栗粉,0.2,1,0,0,0
2023/1/18,肉団子,水,3,0,0,0,0
2023/1/18,ごまドレッシングサラダ,キャベツ,45,8,0.5,0.1,2
2023/1/18,ごまドレッシングサラダ,人参,5,1,0,0,2
2023/1/18,ごまドレッシングサラダ,きゅうり,7,1,0.1,0,0
2023/1/18,ごまドレッシングサラダ,白ごま,1.6,10,0.3,1,0
2023/1/18,ごまドレッシングサラダ,酢,1.2,1,0,0,0
2023/1/18,ごまドレッシングサラダ,しょうゆ,2.4,2,0.2,0,137
2023/1/18,ごまドレッシングサラダ,さとう,1.2,5,0,0,0
2023/1/18,ごまドレッシングサラダ,サラダ油,1.2,11,0,1.2,0
2023/1/18,ごまドレッシングサラダ,ごま油,0.3,3,0,0.3,0
2023/1/19,黒パン,黒パン,50,239,7.2,3.8,359
2023/1/19,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/19,マカロニグラタン,鶏肉,30,49,5.7,3,16
2023/1/19,マカロニグラタン,マカロニ,20,69,2.6,0.4,0
2023/1/19,マカロニグラタン,塩,0.4,0,0,0,0
2023/1/19,マカロニグラタン,人参,10,3,0.1,0,3
2023/1/19,マカロニグラタン,玉ねぎ,30,9,0.3,0,1
2023/1/19,マカロニグラタン,マッシュルーム,3,1,0.1,0,11
2023/1/19,マカロニグラタン,ほうれん草,10,2,0.3,0,11
2023/1/19,マカロニグラタン,油,0.7,6,0,0.7,0
2023/1/19,マカロニグラタン,乾燥パセリ,0.05,0,0,0,0
2023/1/19,マカロニグラタン,油,2,18,0,2,0
2023/1/19,マカロニグラタン,バター,2,14,0,1.6,15
2023/1/19,マカロニグラタン,小麦粉,4,14,0.3,0.1,0
2023/1/19,マカロニグラタン,調理用牛乳,30,18,1,1.1,12
2023/1/19,マカロニグラタン,脱脂粉乳,5,18,1.7,0.1,29
2023/1/19,マカロニグラタン,濃縮スープ（チキン）,2,0,0.1,0,2
2023/1/19,マカロニグラタン,塩,0.75,0,0,0,293
2023/1/19,マカロニグラタン,こしょう,0.04,0,0,0,0
2023/1/19,マカロニグラタン,水,30,0,0,0,0
2023/1/19,マカロニグラタン,とろけるチーズ,10,31,2.3,2.6,110
2023/1/19,マカロニグラタン,パン粉,1,4,0.1,0.1,5
2023/1/19,フレンチサラダ,キャベツ,40,7,0.4,0.1,2
2023/1/19,フレンチサラダ,人参,5,1,0,0,2
2023/1/19,フレンチサラダ,きゅうり,7,1,0.1,0,0
2023/1/19,フレンチサラダ,さとう,0.5,2,0,0,0
2023/1/19,フレンチサラダ,塩,0.27,0,0,0,105
2023/1/19,フレンチサラダ,酢,1.7,1,0,0,0
2023/1/19,フレンチサラダ,こしょう,0.03,0,0,0,0
2023/1/19,フレンチサラダ,からし粉,0.1,0,0,0,0
2023/1/19,フレンチサラダ,サラダ油,1.8,16,0,1.8,0
2023/1/20,かた焼きそば,蒸し麺,40,144,4.4,1.2,128
2023/1/20,かた焼きそば,油,35,53,0,6,0
2023/1/20,かた焼きそば,豚肉,35,64,7,4.1,17
2023/1/20,かた焼きそば,人参,10,3,0.1,0,3
2023/1/20,かた焼きそば,玉ねぎ,35,11,0.3,0,1
2023/1/20,かた焼きそば,もやし,25,4,0.4,0,0
2023/1/20,かた焼きそば,白菜,50,6,0.4,0,3
2023/1/20,かた焼きそば,干し椎茸,0.8,2,0.2,0,0
2023/1/20,かた焼きそば,油,1,9,0,1,0
2023/1/20,かた焼きそば,うずら卵水煮,15,24,1.7,2.1,32
2023/1/20,かた焼きそば,グリンピース,3,2,0.2,0,0
2023/1/20,かた焼きそば,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2023/1/20,かた焼きそば,さとう,0.5,2,0,0,0
2023/1/20,かた焼きそば,塩,0.6,0,0,0,234
2023/1/20,かた焼きそば,こしょう,0.04,0,0,0,0
2023/1/20,かた焼きそば,しょうゆ,4,3,0.3,0,228
2023/1/20,かた焼きそば,酢,1.8,1,0,0,0
2023/1/20,かた焼きそば,片栗粉,5,17,0,0,0
2023/1/20,かた焼きそば,水,50～60,0,0,0,0
2023/1/20,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/20,ミックスフルーツ,みかん缶,25,16,0.1,0,1
2023/1/20,ミックスフルーツ,パイン缶,15,11,0.1,0,0
2023/1/20,ミックスフルーツ,りんご缶,40,32,0.1,0,1
2023/1/20,ミックスフルーツ,豆乳ダイスゼリー,30,16,0.4,1,2
2023/1/20,ミックスフルーツ,かんづめの汁,30,19,0.1,0,1
2023/1/23,かきたまうどん,干しうどん,40,133,3.4,0.4,202
2023/1/23,かきたまうどん,豚肉,20,36,4,2.3,10
2023/1/23,かきたまうどん,人参,10,3,0.1,0,3
2023/1/23,かきたまうどん,玉ねぎ,40,12,0.4,0,1
2023/1/23,かきたまうどん,小松菜,20,3,0.3,0,3
2023/1/23,かきたまうどん,卵,20,24,2.1,1.8,24
2023/1/23,かきたまうどん,かつお節,1.8,0,0,0,0
2023/1/23,かきたまうどん,さとう,0.3,1,0,0,0
2023/1/23,かきたまうどん,塩,0.5,0,0,0,195
