D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/12/1,コーンピラフ,米,62,212,3.8,0.6,1
2022/12/1,コーンピラフ,麦,8,27,0.6,0.2,0
2022/12/1,コーンピラフ,ホールコーン,40,31,0.9,0.2,84
2022/12/1,コーンピラフ,濃縮スープ（チキン）,4,1,0.2,0,4
2022/12/1,コーンピラフ,塩,0.75,0,0,0,293
2022/12/1,コーンピラフ,オリーブ油,0.5,4,0,0.5,0
2022/12/1,コーンピラフ,酒,0.8,1,0,0,0
2022/12/1,コーンピラフ,水,,0,0,0,0
2022/12/1,牛乳　,牛乳,206,126,6.8,7.8,84
2022/12/1,ホキの香草焼き,ホキ,60,47,10.2,0.8,96
2022/12/1,ホキの香草焼き,塩,0.5,0,0,0,195
2022/12/1,ホキの香草焼き,こしょう,0.03,0,0,0,0
2022/12/1,ホキの香草焼き,乾燥バジル,0.08,0,0,0,0
2022/12/1,ホキの香草焼き,乾燥パセリ,0.1,0,0,0,1
2022/12/1,ホキの香草焼き,にんにく,0.2,0,0,0,0
2022/12/1,ホキの香草焼き,白ワイン,0.5,0,0,0,0
2022/12/1,ホキの香草焼き,オリーブ油,3,27,0,3,0
2022/12/1,いくらでもスープ,豚肉,15,27,3,1.8,7
2022/12/1,いくらでもスープ,じゃがいも,40,21,0.6,0,0
2022/12/1,いくらでもスープ,玉ねぎ,20,6,0.2,0,0
2022/12/1,いくらでもスープ,人参,10,3,0.1,0,3
2022/12/1,いくらでもスープ,キャベツ,20,4,0.2,0,1
2022/12/1,いくらでもスープ,小松菜,8,1,0.1,0,1
2022/12/1,いくらでもスープ,バター,1,7,0,0.8,8
2022/12/1,いくらでもスープ,濃縮スープ（ポーク）,8,4,0.3,0.3,7
2022/12/1,いくらでもスープ,調理用牛乳,50,31,1.7,1.9,21
2022/12/1,いくらでもスープ,塩,0.75,0,0,0,293
2022/12/1,いくらでもスープ,こしょう,0.04,0,0,0,0
2022/12/1,いくらでもスープ,水,80～90,0,0,0,0
2022/12/2,食パン,食パン,60,249,8.3,4.6,421
2022/12/2,牛乳,牛乳,206,126,6.8,7.8,84
2022/12/2,キーマカレー,豚ひき肉,45,82,9,5.3,22
2022/12/2,キーマカレー,大豆ミート,7,25,3.2,0.2,0
2022/12/2,キーマカレー,人参,10,3,0.1,0,3
2022/12/2,キーマカレー,玉ねぎ,50,16,0.5,0,1
