A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/5/10,ミートローフ,グリンピース,3,2,0.2,0,0
2022/5/10,ミートローフ,トマトケチャップ,4,4,0.1,0,48
2022/5/10,ミートローフ,中濃ソース,2.5,3,0,0,58
2022/5/10,ＡＢＣスープ,アルファベットマカロニ,7,24,0.9,0.1,0
2022/5/10,ＡＢＣスープ,鶏肉,15,24,2.9,1.5,8
2022/5/10,ＡＢＣスープ,人参,5,1,0,0,2
2022/5/10,ＡＢＣスープ,玉ねぎ,20,6,0.2,0,0
2022/5/10,ＡＢＣスープ,じゃがいも,30,16,0.5,0,0
2022/5/10,ＡＢＣスープ,ほうれん草,10,2,0.3,0,11
2022/5/10,ＡＢＣスープ,塩,0.9,0,0,0,351
2022/5/10,ＡＢＣスープ,こしょう,0.03,0,0,0,0
2022/5/10,ＡＢＣスープ,濃縮スープ（チキン）,5,1,0.2,0,4
2022/5/10,ＡＢＣスープ,水,120～130,0,0,0,0
2022/5/11,中華風たきこみごはん,米,62,212,3.8,0.6,1
2022/5/11,中華風たきこみごはん,麦,8,27,0.6,0.2,0
2022/5/11,中華風たきこみごはん,酒,0.8,1,0,0,0
2022/5/11,中華風たきこみごはん,水,,0,0,0,0
2022/5/11,中華風たきこみごはん,しょうが,0.5,0,0,0,0
2022/5/11,中華風たきこみごはん,豚肉,20,36,4,2.3,10
2022/5/11,中華風たきこみごはん,人参,10,3,0.1,0,3
2022/5/11,中華風たきこみごはん,干し椎茸,0.5,1,0.1,0,0
2022/5/11,中華風たきこみごはん,ごま油,1.3,12,0,1.3,0
2022/5/11,中華風たきこみごはん,さとう,0.9,4,0,0,0
2022/5/11,中華風たきこみごはん,塩,0.35,0,0,0,137
2022/5/11,中華風たきこみごはん,しょうゆ,3.5,3,0.3,0,200
2022/5/11,中華風たきこみごはん,酒,1,1,0,0,0
2022/5/11,中華風たきこみごはん,グリンピース,3,2,0.2,0,0
2022/5/11,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/11,揚げギョウザ,ギョウザ,51,101,2.9,4.8,128
2022/5/11,揚げギョウザ,油,35,11,0,1.2,0
2022/5/11,塩だれ野菜,キャベツ,30,5,0.3,0.1,1
2022/5/11,塩だれ野菜,もやし,30,4,0.5,0,1
2022/5/11,塩だれ野菜,にんにく,0.5,1,0,0,0
2022/5/11,塩だれ野菜,ごま油,0.9,8,0,0.9,0
2022/5/11,塩だれ野菜,塩,0.25,0,0,0,98
2022/5/11,塩だれ野菜,こしょう,0.01,0,0,0,0
2022/5/11,塩だれ野菜,白ごま,0.9,5,0.2,0.5,0
