B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）,,,,,,,,,
2023/11/20,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/20,キャベツのサラダ,キャベツ,40,7,0.4,0.1,2,,,,,,,,,
2023/11/20,キャベツのサラダ,ホールコーン,20,16,0.5,0.1,42,,,,,,,,,
2023/11/20,キャベツのサラダ,しょうゆ,1.3,1,0.1,0,74,,,,,,,,,
2023/11/20,キャベツのサラダ,塩,0.09,0,0,0,35,,,,,,,,,
2023/11/20,キャベツのサラダ,酢,0.6,0,0,0,0,,,,,,,,,
2023/11/20,キャベツのサラダ,ごま油,0.7,6,0,0.7,0,,,,,,,,,
2023/11/20,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31,,,,,,,,,
2023/11/21,バターチキンカレー,米,70,239,4.3,0.6,1,,,,,,,,,
2023/11/21,バターチキンカレー,麦,10,33,0.7,0.2,0,,,,,,,,,
2023/11/21,バターチキンカレー,油,0.3,3,0,0.3,0,,,,,,,,,
2023/11/21,バターチキンカレー,ターメリック,0.05,0,0,0,0,,,,,,,,,
2023/11/21,バターチキンカレー,酒,1,1,0,0,0,,,,,,,,,
2023/11/21,バターチキンカレー,水,,0,0,0,0,,,,,,,,,
2023/11/21,バターチキンカレー,鶏肉,50,81,9.5,5.1,26,,,,,,,,,
2023/11/21,バターチキンカレー,プレーンヨーグルト,10,6,0.4,0.3,5,,,,,,,,,
2023/11/21,バターチキンカレー,人参,15,4,0.1,0,5,,,,,,,,,
2023/11/21,バターチキンカレー,じゃがいも,40,21,0.6,0,0,,,,,,,,,
2023/11/21,バターチキンカレー,玉ねぎ,50,16,0.5,0,1,,,,,,,,,
2023/11/21,バターチキンカレー,にんにく,0.2,0,0,0,0,,,,,,,,,
2023/11/21,バターチキンカレー,しょうが,0.5,0,0,0,0,,,,,,,,,
2023/11/21,バターチキンカレー,油,1,9,0,1,0,,,,,,,,,
2023/11/21,バターチキンカレー,ダイストマト,20,4,0.2,0,1,,,,,,,,,
2023/11/21,バターチキンカレー,油,3,26,0,3,0,,,,,,,,,
2023/11/21,バターチキンカレー,バター,3,21,0,2.4,23,,,,,,,,,
2023/11/21,バターチキンカレー,小麦粉,6,21,0.5,0.1,0,,,,,,,,,
2023/11/21,バターチキンカレー,カレー粉,1,3,0.1,0.1,0,,,,,,,,,
2023/11/21,バターチキンカレー,脱脂粉乳,3,11,1,0,17,,,,,,,,,
2023/11/21,バターチキンカレー,濃縮スープ（チキン）,2,0,0.1,0,2,,,,,,,,,
2023/11/21,バターチキンカレー,塩,0.75,0,0,0,293,,,,,,,,,
2023/11/21,バターチキンカレー,トマトケチャップ,2,2,0,0,24,,,,,,,,,
2023/11/21,バターチキンカレー,ウスターソース,2.5,3,0,0,83,,,,,,,,,
2023/11/21,バターチキンカレー,しょうゆ,1.6,1,0.1,0,91,,,,,,,,,
2023/11/21,バターチキンカレー,ローリエ,0.02,0,0,0,0,,,,,,,,,
2023/11/21,バターチキンカレー,水,50～60,0,0,0,0,,,,,,,,,
2023/11/21,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/21,わかめサラダ,わかめ,1,2,0.2,0,36,,,,,,,,,
2023/11/21,わかめサラダ,キャベツ,40,7,0.4,0.1,2,,,,,,,,,
2023/11/21,わかめサラダ,人参,5,1,0,0,2,,,,,,,,,
2023/11/21,わかめサラダ,しょうゆ,2.8,2,0.2,0,160,,,,,,,,,
2023/11/21,わかめサラダ,サラダ油,2,18,0,2,0,,,,,,,,,
2023/11/22,きのこごはん,米,60,205,3.7,0.5,1,,,,,,,,,
2023/11/22,きのこごはん,麦,5,17,0.4,0.1,0,,,,,,,,,
2023/11/22,きのこごはん,もち米,5,17,0.3,0.1,0,,,,,,,,,
2023/11/22,きのこごはん,酒,0.8,1,0,0,0,,,,,,,,,
2023/11/22,きのこごはん,水,,0,0,0,0,,,,,,,,,
2023/11/22,きのこごはん,たもぎ茸　まいたけ　しめじ,10,2,0.3,0,1,,,,,,,,,
2023/11/22,きのこごはん,干し椎茸,0.6,2,0.1,0,0,,,,,,,,,
2023/11/22,きのこごはん,人参,8,2,0.1,0,2,,,,,,,,,
2023/11/22,きのこごはん,冷凍油揚げ,7,29,1.6,2.4,0,,,,,,,,,
2023/11/22,きのこごはん,さとう,1,4,0,0,0,,,,,,,,,
2023/11/22,きのこごはん,しょうゆ,3,2,0.2,0,171,,,,,,,,,
2023/11/22,きのこごはん,塩,0.4,0,0,0,156,,,,,,,,,
2023/11/22,きのこごはん,かつお節,0.5,0,0,0,0,,,,,,,,,
2023/11/22,きのこごはん,水,,0,0,0,0,,,,,,,,,
2023/11/22,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,鶏肉,40,65,7.6,4,21,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,しょうゆ,0.7,1,0.1,0,40,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,しょうが,0.5,0,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,酒,0.5,1,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,片栗粉,7,24,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,凍り豆腐,5,25,2.5,1.7,22,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,片栗粉,6,20,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,油,35,32,0,3.6,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,長ねぎ,5,1,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,油,0.1,1,0,0.1,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,しょうゆ,3.5,3,0.3,0,200,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,さとう,2.3,9,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,みりん,1,2,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,一味とうがらし,0.01,0,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,水,3.5,0,0,0,0,,,,,,,,,
2023/11/22,とり肉と凍り豆腐の揚げ煮,白ごま,1,6,0.2,0.5,0,,,,,,,,,
2023/11/22,からしあえ,キャベツ,30,5,0.3,0.1,1,,,,,,,,,
2023/11/22,からしあえ,もやし,20,3,0.3,0,0,,,,,,,,,
2023/11/22,からしあえ,小松菜,15,2,0.2,0,2,,,,,,,,,
2023/11/22,からしあえ,しょうゆ,2.6,2,0.2,0,148,,,,,,,,,
2023/11/22,からしあえ,からし粉,0.1,0,0,0,0,,,,,,,,,
2023/11/24,ごはん,米（委託炊飯）,80,274,4.9,0.7,1,,,,,,,,,
2023/11/24,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/24,あじのたれカツ,あじ,35,39,6.9,1.6,46,,,,,,,,,
2023/11/24,あじのたれカツ,塩,0.07,0,0,0,27,,,,,,,,,
2023/11/24,あじのたれカツ,こしょう,0.02,0,0,0,0,,,,,,,,,
2023/11/24,あじのたれカツ,小麦粉,3,10,0.2,0,0,,,,,,,,,
2023/11/24,あじのたれカツ,小麦粉,3,10,0.2,0,0,,,,,,,,,
2023/11/24,あじのたれカツ,水,8～12,0,0,0,0,,,,,,,,,
2023/11/24,あじのたれカツ,パン粉,10,37,1.5,0.7,46,,,,,,,,,
2023/11/24,あじのたれカツ,油,35,35,0,4,0,,,,,,,,,
2023/11/24,あじのたれカツ,しょうゆ,3.5,3,0.3,0,200,,,,,,,,,
2023/11/24,あじのたれカツ,さとう,2.8,11,0,0,0,,,,,,,,,
2023/11/24,あじのたれカツ,酒,1.4,1,0,0,0,,,,,,,,,
2023/11/24,あじのたれカツ,みりん,0.7,2,0,0,0,,,,,,,,,
2023/11/24,あじのたれカツ,水,1.4,0,0,0,0,,,,,,,,,
2023/11/24,せんべい汁,せんべい,10,36,1.1,0.2,97,,,,,,,,,
2023/11/24,せんべい汁,鶏肉,15,24,2.9,1.5,8,,,,,,,,,
2023/11/24,せんべい汁,冷凍油揚げ,6,25,1.4,2.1,0,,,,,,,,,
2023/11/24,せんべい汁,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/24,せんべい汁,大根,25,3,0.1,0,4,,,,,,,,,
2023/11/24,せんべい汁,えのき,10,3,0.3,0,0,,,,,,,,,
2023/11/24,せんべい汁,長ねぎ,10,2,0.1,0,0,,,,,,,,,
2023/11/24,せんべい汁,小松菜,15,2,0.2,0,2,,,,,,,,,
2023/11/24,せんべい汁,かつお節,1.5,0,0,0,0,,,,,,,,,
2023/11/24,せんべい汁,塩,0.4,0,0,0,156,,,,,,,,,
2023/11/24,せんべい汁,しょうゆ,2.5,2,0.2,0,143,,,,,,,,,
2023/11/24,せんべい汁,みりん,1,2,0,0,0,,,,,,,,,
2023/11/24,せんべい汁,水,120～130,0,0,0,0,,,,,,,,,
2023/11/24,くだもの,みかん,100,39,0.6,0.1,1,,,,,,,,,
2023/11/27,コーンピラフ,米,62,212,3.8,0.6,1,,,,,,,,,
2023/11/27,コーンピラフ,麦,8,27,0.6,0.2,0,,,,,,,,,
2023/11/27,コーンピラフ,ホールコーン,20,16,0.5,0.1,42,,,,,,,,,
2023/11/27,コーンピラフ,濃縮スープ（チキン）,4,1,0.2,0,4,,,,,,,,,
2023/11/27,コーンピラフ,塩,0.75,0,0,0,293,,,,,,,,,
2023/11/27,コーンピラフ,オリーブ油,1.5,13,0,1.5,0,,,,,,,,,
2023/11/27,コーンピラフ,酒,0.8,1,0,0,0,,,,,,,,,
2023/11/27,コーンピラフ,水,,0,0,0,0,,,,,,,,,
2023/11/27,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/27,ホキの香草焼き,ホキ,60,47,10.2,0.8,96,,,,,,,,,
2023/11/27,ホキの香草焼き,塩,0.4,0,0,0,156,,,,,,,,,
2023/11/27,ホキの香草焼き,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/27,ホキの香草焼き,乾燥バジル,0.08,0,0,0,0,,,,,,,,,
2023/11/27,ホキの香草焼き,乾燥パセリ,0.1,0,0,0,1,,,,,,,,,
2023/11/27,ホキの香草焼き,にんにく,0.2,0,0,0,0,,,,,,,,,
2023/11/27,ホキの香草焼き,白ワイン,0.5,0,0,0,0,,,,,,,,,
2023/11/27,ホキの香草焼き,オリーブ油,3,27,0,3,0,,,,,,,,,
2023/11/27,いくらでもスープ,豚肉,15,27,3,1.8,7,,,,,,,,,
2023/11/27,いくらでもスープ,じゃがいも,40,21,0.6,0,0,,,,,,,,,
2023/11/27,いくらでもスープ,玉ねぎ,20,6,0.2,0,0,,,,,,,,,
2023/11/27,いくらでもスープ,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/27,いくらでもスープ,キャベツ,30,5,0.3,0.1,1,,,,,,,,,
2023/11/27,いくらでもスープ,小松菜,8,1,0.1,0,1,,,,,,,,,
2023/11/27,いくらでもスープ,バター,1,7,0,0.8,8,,,,,,,,,
2023/11/27,いくらでもスープ,濃縮スープ（ポーク）,8,4,0.3,0.3,7,,,,,,,,,
2023/11/27,いくらでもスープ,調理用牛乳,40,24,1.3,1.5,16,,,,,,,,,
2023/11/27,いくらでもスープ,塩,0.75,0,0,0,293,,,,,,,,,
2023/11/27,いくらでもスープ,こしょう,0.04,0,0,0,0,,,,,,,,,
2023/11/27,いくらでもスープ,水,60～70,0,0,0,0,,,,,,,,,
2023/11/28,セサミライス,米,70,239,4.3,0.6,1,,,,,,,,,
2023/11/28,セサミライス,麦,10,33,0.7,0.2,0,,,,,,,,,
2023/11/28,セサミライス,塩,0.3,0,0,0,117,,,,,,,,,
2023/11/28,セサミライス,オリーブ油,0.5,4,0,0.5,0,,,,,,,,,
2023/11/28,セサミライス,酒,1,1,0,0,0,,,,,,,,,
2023/11/28,セサミライス,水,,0,0,0,0,,,,,,,,,
2023/11/28,セサミライス,白ごま,2,12,0.4,1.1,0,,,,,,,,,
2023/11/28,発酵乳,プルーン発酵乳,213,160,6.4,2.8,192,,,,,,,,,
2023/11/28,ボルシチ,豚肉,35,64,7,4.1,17,,,,,,,,,
2023/11/28,ボルシチ,じゃがいも,60,32,1,0.1,1,,,,,,,,,
2023/11/28,ボルシチ,玉ねぎ,40,12,0.4,0,1,,,,,,,,,
2023/11/28,ボルシチ,人参,15,4,0.1,0,5,,,,,,,,,
2023/11/28,ボルシチ,大根,20,3,0.1,0,3,,,,,,,,,
2023/11/28,ボルシチ,キャベツ,20,4,0.2,0,1,,,,,,,,,
2023/11/28,ボルシチ,乾燥パセリ,0.03,0,0,0,0,,,,,,,,,
2023/11/28,ボルシチ,トマトピューレ,8,4,0.2,0,2,,,,,,,,,
2023/11/28,ボルシチ,トマトケチャップ,5,5,0.1,0,60,,,,,,,,,
2023/11/28,ボルシチ,塩,0.9,0,0,0,351,,,,,,,,,
2023/11/28,ボルシチ,こしょう,0.01,0,0,0,0,,,,,,,,,
2023/11/28,ボルシチ,濃縮スープ（ポーク）,5,3,0.2,0.2,4,,,,,,,,,
2023/11/28,ボルシチ,赤ワイン,2,1,0,0,0,,,,,,,,,
2023/11/28,ボルシチ,ローリエ,0.01,0,0,0,0,,,,,,,,,
2023/11/28,ボルシチ,水,80,0,0,0,0,,,,,,,,,
2023/11/28,ボルシチ,生クリーム,2,6,0,0.6,1,,,,,,,,,
2023/11/28,春雨サラダ,緑豆春雨,5,17,0,0,1,,,,,,,,,
2023/11/28,春雨サラダ,人参,5,1,0,0,2,,,,,,,,,
2023/11/28,春雨サラダ,キャベツ,35,6,0.4,0.1,1,,,,,,,,,
2023/11/28,春雨サラダ,さとう,0.5,2,0,0,0,,,,,,,,,
2023/11/28,春雨サラダ,しょうゆ,2.3,2,0.2,0,131,,,,,,,,,
2023/11/28,春雨サラダ,酢,3,2,0,0,0,,,,,,,,,
2023/11/28,春雨サラダ,ごま油,0.5,4,0,0.5,0,,,,,,,,,
2023/11/28,春雨サラダ,からし粉,0.1,0,0,0,0,,,,,,,,,
2023/11/28,春雨サラダ,サラダ油,2,18,0,2,0,,,,,,,,,
2023/11/29,ごはん,米（委託炊飯）,80,274,4.9,0.7,1,,,,,,,,,
2023/11/29,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/29,ユーリンチー,鶏肉,60,97,11.4,6.1,31,,,,,,,,,
2023/11/29,ユーリンチー,塩,0.1,0,0,0,39,,,,,,,,,
2023/11/29,ユーリンチー,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,片栗粉,8,27,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,油,35,21,0,2.4,0,,,,,,,,,
2023/11/29,ユーリンチー,長ねぎ,10,2,0.1,0,0,,,,,,,,,
2023/11/29,ユーリンチー,しょうが,0.1,0,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,にんにく,0.02,0,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,ごま油,0.3,3,0,0.3,0,,,,,,,,,
2023/11/29,ユーリンチー,しょうゆ,3.5,3,0.3,0,200,,,,,,,,,
2023/11/29,ユーリンチー,さとう,2,8,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,酢,1.8,1,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,水,8,0,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,片栗粉,0.3,1,0,0,0,,,,,,,,,
2023/11/29,ユーリンチー,水,,0,0,0,0,,,,,,,,,
2023/11/29,たまごスープ,豚肉,10,18,2,1.2,5,,,,,,,,,
2023/11/29,たまごスープ,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/29,たまごスープ,玉ねぎ,30,9,0.3,0,1,,,,,,,,,
2023/11/29,たまごスープ,白菜,30,4,0.2,0,2,,,,,,,,,
2023/11/29,たまごスープ,卵,20,24,2.1,1.8,24,,,,,,,,,
2023/11/29,たまごスープ,えのき,7,2,0.2,0,0,,,,,,,,,
2023/11/29,たまごスープ,小松菜,15,2,0.2,0,2,,,,,,,,,
2023/11/29,たまごスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4,,,,,,,,,
2023/11/29,たまごスープ,塩,0.8,0,0,0,312,,,,,,,,,
2023/11/29,たまごスープ,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/29,たまごスープ,しょうゆ,2,2,0.2,0,114,,,,,,,,,
2023/11/29,たまごスープ,水,120～130,0,0,0,0,,,,,,,,,
2023/11/30,豚すき丼,米,70,239,4.3,0.6,1,,,,,,,,,
2023/11/30,豚すき丼,麦,10,33,0.7,0.2,0,,,,,,,,,
2023/11/30,豚すき丼,油,0.3,3,0,0.3,0,,,,,,,,,
2023/11/30,豚すき丼,酒,1,1,0,0,0,,,,,,,,,
2023/11/30,豚すき丼,水,,0,0,0,0,,,,,,,,,
2023/11/30,豚すき丼,豚肉,40,73,8,4.7,20,,,,,,,,,
2023/11/30,豚すき丼,凍り豆腐,7,35,3.5,2.4,31,,,,,,,,,
2023/11/30,豚すき丼,しらたき,20,1,0,0,2,,,,,,,,,
2023/11/30,豚すき丼,人参,12,3,0.1,0,4,,,,,,,,,
2023/11/30,豚すき丼,長ねぎ,10,2,0.1,0,0,,,,,,,,,
2023/11/30,豚すき丼,白菜,50,6,0.4,0,3,,,,,,,,,
2023/11/30,豚すき丼,油,1.2,11,0,1.2,0,,,,,,,,,
2023/11/30,豚すき丼,さとう,2.9,11,0,0,0,,,,,,,,,
2023/11/30,豚すき丼,しょうゆ,6.8,5,0.5,0,388,,,,,,,,,
2023/11/30,豚すき丼,酒,0.85,1,0,0,0,,,,,,,,,
2023/11/30,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/30,おひたし,キャベツ,50,9,0.6,0.1,2,,,,,,,,,
2023/11/30,おひたし,小松菜,15,2,0.2,0,2,,,,,,,,,
2023/11/30,おひたし,しょうゆ,2.8,2,0.2,0,160,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
