B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）,,,,,,,,,
2023/11/6,ミックスフルーツ,豆乳ダイスゼリー,20,11,0.3,0.6,1,,,,,,,,,
2023/11/6,ミックスフルーツ,かんづめの汁,30,19,0.1,0,1,,,,,,,,,
2023/11/7,ソフトフランス,ソフトフランス,50,214,6.9,3.9,350,,,,,,,,,
2023/11/7,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/7,とり肉のマヨネーズ焼き,鶏肉,70,113,13.3,7.1,36,,,,,,,,,
2023/11/7,とり肉のマヨネーズ焼き,塩,0.2,0,0,0,78,,,,,,,,,
2023/11/7,とり肉のマヨネーズ焼き,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/7,とり肉のマヨネーズ焼き,白ワイン,1,1,0,0,0,,,,,,,,,
2023/11/7,とり肉のマヨネーズ焼き,卵ぬきマヨネーズ,5.8,35,0,3.8,43,,,,,,,,,
2023/11/7,とり肉のマヨネーズ焼き,乾燥パセリ,0.03,0,0,0,0,,,,,,,,,
2023/11/7,ＡＢＣスープ,アルファベットマカロニ,7,24,0.9,0.1,0,,,,,,,,,
2023/11/7,ＡＢＣスープ,豚肉,10,18,2,1.2,5,,,,,,,,,
2023/11/7,ＡＢＣスープ,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/7,ＡＢＣスープ,玉ねぎ,30,9,0.3,0,1,,,,,,,,,
2023/11/7,ＡＢＣスープ,じゃがいも,30,16,0.5,0,0,,,,,,,,,
2023/11/7,ＡＢＣスープ,キャベツ,15,3,0.2,0,1,,,,,,,,,
2023/11/7,ＡＢＣスープ,小松菜,7,1,0.1,0,1,,,,,,,,,
2023/11/7,ＡＢＣスープ,ホールコーン,10,8,0.2,0.1,21,,,,,,,,,
2023/11/7,ＡＢＣスープ,塩,0.9,0,0,0,351,,,,,,,,,
2023/11/7,ＡＢＣスープ,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/7,ＡＢＣスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4,,,,,,,,,
2023/11/7,ＡＢＣスープ,水,120～130,0,0,0,0,,,,,,,,,
2023/11/8,麦ごはん,米,70,239,4.3,0.6,1,,,,,,,,,
2023/11/8,麦ごはん,麦,10,33,0.7,0.2,0,,,,,,,,,
2023/11/8,麦ごはん,油,0.3,3,0,0.3,0,,,,,,,,,
2023/11/8,麦ごはん,酒,1,1,0,0,0,,,,,,,,,
2023/11/8,麦ごはん,水,,0,0,0,0,,,,,,,,,
2023/11/8,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/8,塩肉じゃが,豚肉,40,73,8,4.7,20,,,,,,,,,
2023/11/8,塩肉じゃが,人参,15,4,0.1,0,5,,,,,,,,,
2023/11/8,塩肉じゃが,玉ねぎ,40,12,0.4,0,1,,,,,,,,,
2023/11/8,塩肉じゃが,じゃがいも,90,48,1.5,0.1,1,,,,,,,,,
