A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/3/1,ソフトフランス,ソフトフランス,50,217,7,3.8,351
2023/3/1,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/1,ホワイトシチュー,豚肉,30,55,6,3.5,15
2023/3/1,ホワイトシチュー,人参,15,4,0.1,0,5
2023/3/1,ホワイトシチュー,じゃがいも,70,37,1.1,0.1,1
2023/3/1,ホワイトシチュー,玉ねぎ,50,16,0.5,0,1
2023/3/1,ホワイトシチュー,油,0.7,6,0,0.7,0
2023/3/1,ホワイトシチュー,油,1.5,13,0,1.5,0
2023/3/1,ホワイトシチュー,バター,1.5,11,0,1.2,11
2023/3/1,ホワイトシチュー,小麦粉,4,14,0.3,0.1,0
2023/3/1,ホワイトシチュー,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/3/1,ホワイトシチュー,塩,0.8,0,0,0,312
2023/3/1,ホワイトシチュー,こしょう,0.04,0,0,0,0
2023/3/1,ホワイトシチュー,脱脂粉乳,12,42,4.1,0.1,68
2023/3/1,ホワイトシチュー,ベイリーフ,0.01,0,0,0,0
2023/3/1,ホワイトシチュー,水,90～110,0,0,0,0
2023/3/1,グリーンサラダ,キャベツ,45,8,0.5,0.1,2
2023/3/1,グリーンサラダ,きゅうり,5,1,0,0,0
2023/3/1,グリーンサラダ,小松菜,10,1,0.2,0,2
2023/3/1,グリーンサラダ,塩,0.3,0,0,0,117
2023/3/1,グリーンサラダ,酢,2,1,0,0,0
2023/3/1,グリーンサラダ,こしょう,0.01,0,0,0,0
2023/3/1,グリーンサラダ,からし粉,0.05,0,0,0,0
2023/3/1,グリーンサラダ,サラダ油,2.7,24,0,2.7,0
2023/3/1,ジャム,りんごジャム,15,30,0,0,1
2023/3/2,そぼろごはん,米,70,239,4.3,0.6,1
2023/3/2,そぼろごはん,麦,10,33,0.7,0.2,0
2023/3/2,そぼろごはん,油,0.3,3,0,0.3,0
2023/3/2,そぼろごはん,酒,1,1,0,0,0
2023/3/2,そぼろごはん,水,,0,0,0,0
2023/3/2,そぼろごはん,豚ひき肉,45,82,9,5.3,22
2023/3/2,そぼろごはん,大豆ミート,4.5,16,2.1,0.1,0
2023/3/2,そぼろごはん,人参,10,3,0.1,0,3
2023/3/2,そぼろごはん,玉ねぎ,20,6,0.2,0,0
2023/3/2,そぼろごはん,切り干し大根,7,20,0.7,0.1,15
2023/3/2,そぼろごはん,しょうが,1,0,0,0,0
2023/3/2,そぼろごはん,油,1,9,0,1,0
2023/3/2,そぼろごはん,しょうゆ,5,4,0.4,0,285
2023/3/2,そぼろごはん,さとう,2,8,0,0,0
2023/3/2,そぼろごはん,みりん,2,5,0,0,0
2023/3/2,そぼろごはん,酒,1,1,0,0,0
2023/3/2,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/2,ゆずポン酢サラダ,キャベツ,45,8,0.5,0.1,2
2023/3/2,ゆずポン酢サラダ,人参,5,1,0,0,2
2023/3/2,ゆずポン酢サラダ,もやし,10,1,0.2,0,0
2023/3/2,ゆずポン酢サラダ,わかめ,0.5,1,0.1,0,18
2023/3/2,ゆずポン酢サラダ,さとう,0.6,2,0,0,0
2023/3/2,ゆずポン酢サラダ,しょうゆ,2.4,2,0.2,0,137
