A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/3/2,ゆずポン酢サラダ,酢,1.7,1,0,0,0
2023/3/2,ゆずポン酢サラダ,ゆず果汁,0.4,0,0,0,0
2023/3/2,ゆずポン酢サラダ,サラダ油,3.2,28,0,3.2,0
2023/3/3,五目ずし,米,65,222,4,0.6,1
2023/3/3,五目ずし,麦,5,17,0.4,0.1,0
2023/3/3,五目ずし,酒,0.8,1,0,0,0
2023/3/3,五目ずし,水,,0,0,0,0
2023/3/3,五目ずし,さとう,2.5,10,0,0,0
2023/3/3,五目ずし,塩,0.6,0,0,0,234
2023/3/3,五目ずし,酢,6,4,0,0,1
2023/3/3,五目ずし,かんぴょう,1.5,4,0.1,0,0
2023/3/3,五目ずし,塩,0.3,0,0,0,0
2023/3/3,五目ずし,人参,9,2,0.1,0,3
2023/3/3,五目ずし,干し椎茸,0.6,2,0.1,0,0
2023/3/3,五目ずし,冷凍油揚げ,7,29,1.6,2.4,0
2023/3/3,五目ずし,かつお節,1,0,0,0,0
2023/3/3,五目ずし,水,20,0,0,0,0
2023/3/3,五目ずし,さとう,2.3,9,0,0,0
2023/3/3,五目ずし,しょうゆ,3,2,0.2,0,171
2023/3/3,五目ずし,のり,0.5,1,0.2,0,3
2023/3/3,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/3,かじきのつけ焼き,かじき,60,83,11.5,4.6,43
2023/3/3,かじきのつけ焼き,しょうゆ,2.8,2,0.2,0,160
2023/3/3,かじきのつけ焼き,赤みそ,2,4,0.3,0.1,102
2023/3/3,かじきのつけ焼き,しょうが,1.2,0,0,0,0
2023/3/3,かじきのつけ焼き,酒,1,1,0,0,0
2023/3/3,かじきのつけ焼き,油,1,9,0,1,0
2023/3/3,ごま入りおひたし,キャベツ,45,8,0.5,0.1,2
2023/3/3,ごま入りおひたし,人参,5,1,0,0,2
2023/3/3,ごま入りおひたし,ほうれん草,20,4,0.6,0.1,23
2023/3/3,ごま入りおひたし,しょうゆ,3,2,0.2,0,171
2023/3/3,ごま入りおひたし,白ごま,1.5,9,0.3,0.8,0
2023/3/3,ひなあられ,ひなあられ,5,20,0.3,0,11
2023/3/6,黒パン,黒パン,50,239,7.2,3.8,359
2023/3/6,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/6,揚げじゃがいものそぼろ煮,じゃがいも,140,74,2.3,0.1,1
2023/3/6,揚げじゃがいものそぼろ煮,油,35,37,0,4.2,0
2023/3/6,揚げじゃがいものそぼろ煮,豚ひき肉,30,55,6,3.5,15
2023/3/6,揚げじゃがいものそぼろ煮,さとう,4.5,18,0,0,0
2023/3/6,揚げじゃがいものそぼろ煮,しょうゆ,4.5,3,0.3,0,257
2023/3/6,揚げじゃがいものそぼろ煮,酒,0.5,1,0,0,0
2023/3/6,揚げじゃがいものそぼろ煮,片栗粉,1,3,0,0,0
2023/3/6,揚げじゃがいものそぼろ煮,水,,0,0,0,0
2023/3/6,野菜スープ,人参,10,3,0.1,0,3
2023/3/6,野菜スープ,玉ねぎ,20,6,0.2,0,0
2023/3/6,野菜スープ,キャベツ,30,5,0.3,0.1,1
2023/3/6,野菜スープ,干し椎茸,0.5,1,0.1,0,0
2023/3/6,野菜スープ,ベーコン,2,8,0.3,0.8,16
2023/3/6,野菜スープ,ほうれん草,10,2,0.3,0,11
2023/3/6,野菜スープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/3/6,野菜スープ,塩,0.75,0,0,0,293
2023/3/6,野菜スープ,こしょう,0.03,0,0,0,0
2023/3/6,野菜スープ,しょうゆ,1.5,1,0.1,0,86
2023/3/6,野菜スープ,水,120～130,0,0,0,0
2023/3/6,チーズ,ベビーチーズ（鉄）,15,47,2.7,3.7,197
2023/3/7,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/3/7,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/7,とり肉と凍り豆腐の揚げ煮,鶏肉,40,65,7.6,4,21
2023/3/7,とり肉と凍り豆腐の揚げ煮,しょうゆ,0.7,1,0.1,0,40
2023/3/7,とり肉と凍り豆腐の揚げ煮,しょうが,0.5,0,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,酒,0.5,1,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,片栗粉,7,24,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,凍り豆腐,5,25,2.5,1.7,22
2023/3/7,とり肉と凍り豆腐の揚げ煮,片栗粉,6,20,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,油,35,32,0,3.6,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,長ねぎ,5,1,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,油,0.1,1,0,0.1,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,しょうゆ,3.5,3,0.3,0,200
2023/3/7,とり肉と凍り豆腐の揚げ煮,さとう,2.3,9,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,みりん,1,2,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,一味とうがらし,0.01,0,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,水,3.5,0,0,0,0
2023/3/7,とり肉と凍り豆腐の揚げ煮,白ごま,1,6,0.2,0.5,0
2023/3/7,どさんこ汁,豚肉,10,18,2,1.2,5
2023/3/7,どさんこ汁,人参,10,3,0.1,0,3
2023/3/7,どさんこ汁,じゃがいも,30,16,0.5,0,0
2023/3/7,どさんこ汁,にんにく,0.2,0,0,0,0
2023/3/7,どさんこ汁,油,1,9,0,1,0
2023/3/7,どさんこ汁,もやし,20,3,0.3,0,0
2023/3/7,どさんこ汁,冷凍豆腐,30,18,1.5,0.8,1
2023/3/7,どさんこ汁,ホールコーン,10,8,0.2,0.1,21
2023/3/7,どさんこ汁,わかめ,0.5,1,0.1,0,18
2023/3/7,どさんこ汁,長ねぎ,10,2,0.1,0,0
2023/3/7,どさんこ汁,小松菜,15,2,0.2,0,2
2023/3/7,どさんこ汁,かつお節,1.5,0,0,0,0
2023/3/7,どさんこ汁,赤みそ,5,9,0.7,0.3,255
2023/3/7,どさんこ汁,白みそ,5,9,0.6,0.3,245
2023/3/7,どさんこ汁,バター,1,7,0,0.8,8
2023/3/7,どさんこ汁,水,100～120,0,0,0,0
2023/3/7,くだもの,きよみ,47.5,13,0.2,0.1,0
2023/3/8,チーズパン,チーズパンB,50,250,9.2,6.6,422
2023/3/8,発酵乳,プルーン発酵乳,213,160,6.4,2.8,192
2023/3/8,とり肉と豆のトマト煮こみ,鶏肉,55,89,10.5,5.6,29
2023/3/8,とり肉と豆のトマト煮こみ,塩,0.1,0,0,0,39
2023/3/8,とり肉と豆のトマト煮こみ,こしょう,0.01,0,0,0,0
2023/3/8,とり肉と豆のトマト煮こみ,玉ねぎ,30,9,0.3,0,1
2023/3/8,とり肉と豆のトマト煮こみ,にんにく,0.3,0,0,0,0
2023/3/8,とり肉と豆のトマト煮こみ,オリーブ油,0.5,4,0,0.5,0
2023/3/8,とり肉と豆のトマト煮こみ,ダイストマト,40,8,0.4,0.1,2
2023/3/8,とり肉と豆のトマト煮こみ,金時豆（ボイル）,25,32,2.3,0.3,0
2023/3/8,とり肉と豆のトマト煮こみ,さとう,2,8,0,0,0
2023/3/8,とり肉と豆のトマト煮こみ,赤ワイン,1.5,1,0,0,0
2023/3/8,とり肉と豆のトマト煮こみ,乾燥バジル,0.03,0,0,0,0
2023/3/8,とり肉と豆のトマト煮こみ,塩,0.5,0,0,0,195
2023/3/8,たまごスープ,人参,10,3,0.1,0,3
2023/3/8,たまごスープ,玉ねぎ,15,5,0.1,0,0
2023/3/8,たまごスープ,もやし,15,2,0.2,0,0
2023/3/8,たまごスープ,キャベツ,30,5,0.3,0.1,1
2023/3/8,たまごスープ,卵,20,24,2.1,1.8,24
2023/3/8,たまごスープ,小松菜,10,1,0.2,0,2
2023/3/8,たまごスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/3/8,たまごスープ,塩,0.6,0,0,0,234
2023/3/8,たまごスープ,こしょう,0.03,0,0,0,0
2023/3/8,たまごスープ,しょうゆ,2,2,0.2,0,114
2023/3/8,たまごスープ,水,120～130,0,0,0,0
2023/3/9,春キャベツのクリームスパゲッティ,スパゲッティ,60,208,7.7,1.1,1
2023/3/9,春キャベツのクリームスパゲッティ,塩,1.2,0,0,0,0
2023/3/9,春キャベツのクリームスパゲッティ,サラダ油,3,12,0,1.3,0
2023/3/9,春キャベツのクリームスパゲッティ,鶏肉,45,73,8.6,4.5,23
2023/3/9,春キャベツのクリームスパゲッティ,キャベツ,60,11,0.7,0.1,3
2023/3/9,春キャベツのクリームスパゲッティ,玉ねぎ,20,6,0.2,0,0
2023/3/9,春キャベツのクリームスパゲッティ,人参,8,2,0.1,0,2
2023/3/9,春キャベツのクリームスパゲッティ,油,0.6,5,0,0.6,0
2023/3/9,春キャベツのクリームスパゲッティ,調理用牛乳,20,12,0.7,0.8,8
2023/3/9,春キャベツのクリームスパゲッティ,脱脂粉乳,8,28,2.7,0.1,46
2023/3/9,春キャベツのクリームスパゲッティ,濃縮スープ（チキン）,5,1,0.2,0,4
2023/3/9,春キャベツのクリームスパゲッティ,塩,0.9,0,0,0,351
2023/3/9,春キャベツのクリームスパゲッティ,こしょう,0.03,0,0,0,0
2023/3/9,春キャベツのクリームスパゲッティ,水,35～45,0,0,0,0
2023/3/9,春キャベツのクリームスパゲッティ,米粉,4.5,16,0.3,0,0
2023/3/9,春キャベツのクリームスパゲッティ,水,,0,0,0,0
2023/3/9,春キャベツのクリームスパゲッティ,バター,1.1,8,0,0.9,8
2023/3/9,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/9,大根サラダ,大根,35,4,0.1,0,5
2023/3/9,大根サラダ,きゅうり,15,2,0.1,0,0
2023/3/9,大根サラダ,ホールコーン,10,8,0.2,0.1,21
2023/3/9,大根サラダ,酢,2.7,2,0,0,0
2023/3/9,大根サラダ,しょうゆ,2.2,2,0.2,0,125
2023/3/9,大根サラダ,さとう,1.1,4,0,0,0
2023/3/9,大根サラダ,サラダ油,1.1,10,0,1.1,0
2023/3/9,大根サラダ,白ごま,1.2,7,0.2,0.6,0
2023/3/9,タルト,りんごのタルト,35,105,1.1,4.2,19
2023/3/10,ガパオライス,米,70,239,4.3,0.6,1
2023/3/10,ガパオライス,麦,10,33,0.7,0.2,0
2023/3/10,ガパオライス,油,0.3,3,0,0.3,0
2023/3/10,ガパオライス,酒,1,1,0,0,0
2023/3/10,ガパオライス,水,,0,0,0,0
2023/3/10,ガパオライス,豚ひき肉,45,82,9,5.3,22
2023/3/10,ガパオライス,大豆ミート,5,18,2.3,0.2,0
2023/3/10,ガパオライス,玉ねぎ,30,9,0.3,0,1
2023/3/10,ガパオライス,ピーマン,5,1,0,0,0
2023/3/10,ガパオライス,にんにく,0.5,1,0,0,0
2023/3/10,ガパオライス,油,1,9,0,1,0
2023/3/10,ガパオライス,しょうゆ,3,2,0.2,0,171
2023/3/10,ガパオライス,オイスターソース,1.5,2,0.1,0,68
2023/3/10,ガパオライス,酒,0.5,1,0,0,0
2023/3/10,ガパオライス,みりん,0.5,1,0,0,0
2023/3/10,ガパオライス,さとう,0.3,1,0,0,0
2023/3/10,ガパオライス,豆板醤,0.2,0,0,0,14
2023/3/10,ガパオライス,塩,0.3,0,0,0,117
2023/3/10,ガパオライス,こしょう,0.01,0,0,0,0
2023/3/10,ガパオライス,乾燥バジル,0.06,0,0,0,0
2023/3/10,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/10,春雨サラダ,緑豆春雨,5,17,0,0,1
2023/3/10,春雨サラダ,人参,5,1,0,0,2
2023/3/10,春雨サラダ,キャベツ,30,5,0.3,0.1,1
2023/3/10,春雨サラダ,ほうれん草,10,2,0.3,0,11
2023/3/10,春雨サラダ,さとう,0.5,2,0,0,0
2023/3/10,春雨サラダ,しょうゆ,2.5,2,0.2,0,143
2023/3/10,春雨サラダ,酢,3,2,0,0,0
2023/3/10,春雨サラダ,ごま油,0.5,4,0,0.5,0
2023/3/10,春雨サラダ,からし粉,0.1,0,0,0,0
2023/3/10,春雨サラダ,サラダ油,2,18,0,2,0
2023/3/13,こぎつねごはん,米,62,212,3.8,0.6,1
2023/3/13,こぎつねごはん,麦,8,27,0.6,0.2,0
2023/3/13,こぎつねごはん,酒,0.8,1,0,0,0
2023/3/13,こぎつねごはん,水,,0,0,0,0
2023/3/13,こぎつねごはん,鶏肉,10,16,1.9,1,5
2023/3/13,こぎつねごはん,冷凍油揚げ,14,58,3.3,4.8,1
2023/3/13,こぎつねごはん,人参,10,3,0.1,0,3
2023/3/13,こぎつねごはん,しょうゆ,5,4,0.4,0,285
2023/3/13,こぎつねごはん,塩,0.2,0,0,0,78
2023/3/13,こぎつねごはん,さとう,0.8,3,0,0,0
2023/3/13,こぎつねごはん,水,,0,0,0,0
2023/3/13,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/13,さけのつけ焼き,さけ,60,74,13.4,2.5,40
2023/3/13,さけのつけ焼き,さとう,0.3,1,0,0,0
2023/3/13,さけのつけ焼き,しょうゆ,2.4,2,0.2,0,137
2023/3/13,さけのつけ焼き,赤みそ,1.7,3,0.2,0.1,87
2023/3/13,さけのつけ焼き,酒,1,1,0,0,0
2023/3/13,ごまあえ,キャベツ,45,8,0.5,0.1,2
2023/3/13,ごまあえ,もやし,20,3,0.3,0,0
2023/3/13,ごまあえ,白ごま,2.8,18,0.5,1.7,0
2023/3/13,ごまあえ,さとう,2.2,9,0,0,0
2023/3/13,ごまあえ,しょうゆ,2.8,2,0.2,0,160
2023/3/14,わかめごはん,米,70,239,4.3,0.6,1
2023/3/14,わかめごはん,麦,10,33,0.7,0.2,0
2023/3/14,わかめごはん,油,0.3,3,0,0.3,0
2023/3/14,わかめごはん,酒,1,1,0,0,0
2023/3/14,わかめごはん,塩,0.1,0,0,0,39
2023/3/14,わかめごはん,水,,0,0,0,0
2023/3/14,わかめごはん,わかめごはんの素,1.2,2,0.1,0,240
2023/3/14,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/14,いりどり,鶏肉,40,65,7.6,4,21
2023/3/14,いりどり,人参,15,4,0.1,0,5
2023/3/14,いりどり,じゃがいも,80,42,1.3,0.1,1
2023/3/14,いりどり,こんにゃく,35,2,0,0,4
2023/3/14,いりどり,油,1.2,11,0,1.2,0
2023/3/14,いりどり,グリンピース,3,2,0.2,0,0
2023/3/14,いりどり,さとう,5,20,0,0,0
2023/3/14,いりどり,しょうゆ,7,5,0.5,0,399
2023/3/14,いりどり,みりん,1,2,0,0,0
2023/3/14,おひたし,キャベツ,50,9,0.6,0.1,2
2023/3/14,おひたし,小松菜,15,2,0.2,0,2
2023/3/14,おひたし,しょうゆ,2.8,2,0.2,0,160
2023/3/14,のり,のり,4,12,1.7,0.1,21
2023/3/15,カレーライス,米,70,239,4.3,0.6,1
2023/3/15,カレーライス,麦,10,33,0.7,0.2,0
2023/3/15,カレーライス,油,0.3,3,0,0.3,0
2023/3/15,カレーライス,酒,1,1,0,0,0
2023/3/15,カレーライス,水,,0,0,0,0
2023/3/15,カレーライス,豚肉,40,73,8,4.7,20
2023/3/15,カレーライス,人参,15,4,0.1,0,5
2023/3/15,カレーライス,じゃがいも,40,21,0.6,0,0
2023/3/15,カレーライス,玉ねぎ,50,16,0.5,0,1
2023/3/15,カレーライス,にんにく,0.1,0,0,0,0
2023/3/15,カレーライス,しょうが,0.2,0,0,0,0
2023/3/15,カレーライス,油,1,9,0,1,0
2023/3/15,カレーライス,油,6,53,0,6,0
2023/3/15,カレーライス,小麦粉,6,21,0.5,0.1,0
2023/3/15,カレーライス,カレー粉,1,3,0.1,0.1,0
2023/3/15,カレーライス,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2023/3/15,カレーライス,塩,0.75,0,0,0,293
2023/3/15,カレーライス,トマトケチャップ,2,2,0,0,24
2023/3/15,カレーライス,ウスターソース,2.5,3,0,0,83
2023/3/15,カレーライス,しょうゆ,1.6,1,0.1,0,91
2023/3/15,カレーライス,ベイリーフ,0.01,0,0,0,0
2023/3/15,カレーライス,水,70～80,0,0,0,0
2023/3/15,牛乳,牛乳,206,126,6.8,7.8,84
2023/3/15,菜の花サラダ,小松菜,20,3,0.3,0,3
2023/3/15,菜の花サラダ,キャベツ,30,5,0.3,0.1,1
2023/3/15,菜の花サラダ,ホールコーン,20,16,0.5,0.1,42
2023/3/15,菜の花サラダ,しょうゆ,1.5,1,0.1,0,86
2023/3/15,菜の花サラダ,塩,0.1,0,0,0,39
2023/3/15,菜の花サラダ,酢,0.8,0,0,0,0
2023/3/15,菜の花サラダ,ごま油,0.8,7,0,0.8,0
2023/3/15,ゼリー,すだちゼリー,40,34,0,0,23
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
